"",BBSF2.M.1.P.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Mixed funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:55,
2009-09,73,
2009-10,67,
2009-11,64,
2009-12,41,
2010-01,58,
2010-02,52,
2010-03,56,
2010-04,81,
2010-05,88,
2010-06,86,
2010-07,89,
2010-08,90,
2010-09,84,
2010-10,85,
2010-11,95,
2010-12,113,
2011-01,111,
2011-02,143,
2011-03,175,
2011-04,192,
2011-05,189,
2011-06,209,
2011-07,225,
2011-08,191,
2011-09,142,
2011-10,133,
2011-11,152,
2011-12,113,
2012-01,91,
2012-02,88,
2012-03,49,
2012-04,50,
2012-05,59,
2012-06,61,
2012-07,58,
2012-08,58,
2012-09,55,
2012-10,55,
2012-11,42,
2012-12,29,
2013-01,21,
2013-02,18,
2013-03,18,
2013-04,18,
2013-05,21,
2013-06,18,
2013-07,23,
2013-08,37,
2013-09,65,
2013-10,67,
2013-11,62,
2013-12,58,
2014-01,23,
2014-02,27,
2014-03,52,
2014-04,50,
2014-05,50,
2014-06,53,
2014-07,50,
2014-08,19,
2014-09,19,
2014-10,18,
2014-11,18,
