"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:33,
1991-01,67.157,
1991-04,1677.354,
1991-07,-315.995,
1991-10,546.820,
1992-01,2179.703,
1992-04,1039.735,
1992-07,360.981,
1992-10,1042.145,
1993-01,3374.878,
1993-04,-1055.035,
1993-07,28.655,
1993-10,2958.394,
1994-01,-1689.394,
1994-04,1487.389,
1994-07,736.690,
1994-10,423.822,
1995-01,-1621.202,
1995-04,2864.620,
1995-07,3794.067,
1995-10,2997.993,
1996-01,52.511,
1996-04,476.811,
1996-07,662.568,
1996-10,-593.446,
1997-01,3340.224,
1997-04,3416.761,
1997-07,-3450.243,
1997-10,3697.517,
1998-01,-1465.535,
1998-04,1997.025,
1998-07,2723.136,
1998-10,11717.273,
1999-01,-11092.242,
1999-04,-1275.015,
1999-07,4166.955,
1999-10,2366.907,
2000-01,1543.423,
2000-04,6407.036,
2000-07,-1458.011,
2000-10,-480.902,
2001-01,2588.691,
2001-04,624.276,
2001-07,1342.197,
2001-10,-1657.223,
2002-01,401.623,
2002-04,-166.840,
2002-07,5086.078,
2002-10,2086.526,
2003-01,-51.322,
2003-04,4203.065,
2003-07,-340.655,
2003-10,-152.275,
2004-01,-1587.322,
2004-04,-78.742,
2004-07,2722.721,
2004-10,-2516.293,
2005-01,-7416.275,
2005-04,2293.434,
2005-07,1273.252,
2005-10,1525.513,
2006-01,-3259.289,
2006-04,-2080.987,
2006-07,-3644.711,
2006-10,2320.549,
2007-01,-195.980,
2007-04,3012.709,
2007-07,-2658.365,
2007-10,5310.686,
2008-01,-21.729,
2008-04,4021.610,
2008-07,291.783,
2008-10,-7439.817,
2009-01,-4082.153,
2009-04,-2064.048,
2009-07,2010.952,
2009-10,-400.285,
2010-01,-1375.933,
2010-04,2824.684,
2010-07,-328.477,
2010-10,-1756.498,
2011-01,377.176,
2011-04,-2899.724,
2011-07,-326.806,
2011-10,2517.087,
2012-01,4566.871,
2012-04,-3292.153,
2012-07,2078.631,
2012-10,2910.208,
2013-01,150.104,
2013-04,4678.087,
2013-07,-264.863,
2013-10,3538.458,
2014-01,-4020.002,Provisional value
2014-04,-181.017,Provisional value
2014-07,-107.622,Provisional value
2014-10,2031.693,Provisional value
