"",BBEX3.M.SZL.USD.CA.AC.A01,BBEX3.M.SZL.USD.CA.AC.A01_FLAGS
2008-09,8.34550,
2008-10,10.13680,
2008-11,9.96000,
2008-12,9.28950,
2009-01,10.15245,
2009-02,9.95910,
2009-03,9.64000,
2009-04,8.44260,
2009-05,7.98625,
2009-06,7.71775,
2009-07,7.78200,
2009-08,7.80695,
2009-09,7.37900,
2009-10,7.75200,
2009-11,7.38900,
2009-12,7.37400,
2010-01,7.62770,
2010-02,7.78860,
2010-03,7.35000,
2010-04,7.32150,
2010-05,7.64680,
2010-06,7.64750,
2010-07,7.33220,
2010-08,7.37130,
2010-09,6.97400,
2010-10,7.02280,
2010-11,7.13670,
2010-12,6.61740,
2011-01,7.17390,
2011-02,6.98460,
2011-03,6.78380,
2011-04,6.62160,
2011-05,6.82640,
2011-06,6.75800,
2011-07,6.77250,
2011-08,7.05065,
2011-09,8.00200,
2011-10,7.82760,
2011-11,8.46110,
2011-12,8.15460,
2012-01,7.82330,
2012-02,7.47080,
2012-03,7.69250,
2012-04,7.74060,
2012-05,8.49775,
2012-06,8.31035,
2012-07,8.20530,
2012-08,8.45230,
2012-09,8.25910,
2012-10,8.65305,
2012-11,8.81630,
2012-12,8.49140,
2013-01,9.04720,
2013-02,8.82735,
2013-03,9.24925,
2013-04,9.12110,
2013-05,10.20900,
2013-06,10.08575,
2013-07,9.85250,
2013-08,10.33770,
2013-09,10.14650,
2013-10,9.90220,
2013-11,10.18725,
2013-12,10.45980,
2014-01,11.19495,
2014-02,10.71700,
2014-03,10.58840,
2014-04,10.56900,
2014-05,10.43210,
2014-06,10.58515,
2014-07,10.68050,
2014-08,10.61750,
2014-09,11.24700,
2014-10,10.88450,
2014-11,10.99300,
2014-12,11.58900,
2015-01,11.59800,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Swaziland, Mbabane.",
"",Comment on 1993-04: Exchange rate as of 4 May 1993.,
"",Comment on 1994-02: Exchange rate as of 1 March 1994.,
"",Comment on 1994-07: Exchange rate as of 2 August 1994.,
"",Comment on 1995-02: Exchange rate as of 1 March 1995.,
"",Comment on 1995-04: Exchange rate as of 26 April 1995.,
"",Comment on 1996-07: Exchange rate as of 1 August 1996.,
