"",BBK01.CEBQ2Q,BBK01.CEBQ2Q_FLAGS
"",short-term time deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:25,
1991-01,273.0,
1991-04,278.6,
1991-07,291.2,
1991-10,300.9,
1992-01,316.4,
1992-04,324.8,
1992-07,355.9,
1992-10,343.8,
1993-01,354.9,
1993-04,365.7,
1993-07,363.6,
1993-10,382.2,
1994-01,388.8,
1994-04,377.9,
1994-07,373.4,
1994-10,358.1,
1995-01,363.5,
1995-04,359.7,
1995-07,362.3,
1995-10,347.2,
1996-01,350.0,
1996-04,331.3,
1996-07,322.1,
1996-10,314.3,
1997-01,339.1,
1997-04,346.4,
1997-07,344.6,
1997-10,362.7,
1998-01,378.6,
1998-04,382.9,
1998-07,401.2,
1998-10,437.4,
1999-01,554.7,
1999-04,559.9,
1999-07,586.4,
1999-10,664.8,
2000-01,673.3,
2000-04,678.2,
2000-07,716.4,
2000-10,754.1,
2001-01,831.5,
2001-04,813.0,
2001-07,802.9,
2001-10,832.9,
2002-01,800.2,
2002-04,754.8,
2002-07,779.8,
2002-10,781.6,
2003-01,766.4,
2003-04,739.2,
2003-07,730.9,
2003-10,748.2,
2004-01,737.2,
2004-04,686.5,
2004-07,701.0,
2004-10,774.2,
2005-01,733.0,
2005-04,722.1,
2005-07,745.6,
2005-10,782.9,
2006-01,795.2,
2006-04,774.1,
2006-07,816.0,
2006-10,819.2,
2007-01,840.0,
2007-04,857.7,
2007-07,944.1,
2007-10,1035.8,
2008-01,1052.1,
2008-04,1059.6,
2008-07,1127.6,
2008-10,1034.1,
2009-01,900.7,
2009-04,874.9,
2009-07,797.1,
2009-10,766.4,
2010-01,722.3,
2010-04,751.0,
2010-07,782.8,
2010-10,791.6,
2011-01,734.2,
2011-04,738.7,
2011-07,803.3,
2011-10,779.3,
2012-01,864.6,
2012-04,864.8,
2012-07,815.2,
2012-10,731.8,
2013-01,733.1,
2013-04,724.8,
2013-07,655.5,
2013-10,635.7,
2014-01,648.1,
