"",BBFN1.M.DE.N.1.A.EG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Egypt,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:34,
1982-09,0.277,
1982-10,0.288,
1982-11,0.301,
1982-12,0.313,
1983-01,0.325,
1983-02,0.335,
1983-03,0.341,
1983-04,0.343,
1983-05,0.354,
1983-06,0.365,
1983-07,0.375,
1983-08,0.383,
1983-09,0.393,
1983-10,0.405,
1983-11,0.420,
1983-12,0.436,
1984-01,0.449,
1984-02,0.465,
1984-03,0.478,
1984-04,0.488,
1984-05,0.501,
1984-06,0.519,
1984-07,0.530,
1984-08,0.543,
1984-09,0.559,
1984-10,0.574,
1984-11,0.590,
1984-12,0.609,
1985-01,0.623,
1985-02,0.638,
1985-03,0.647,
1985-04,0.658,
1985-05,0.667,
1985-06,0.674,
1985-07,0.680,
1985-08,0.444,
1985-09,0.446,
1985-10,0.437,
1985-11,0.443,
1985-12,0.449,
1986-01,0.451,
1986-02,0.456,
1986-03,0.355,
1986-04,0.357,
1986-05,0.360,
1986-06,0.364,
1986-07,0.367,
1986-08,0.371,
1986-09,0.372,
1986-10,0.376,
1986-11,0.378,
1986-12,0.381,
1987-01,0.382,
1987-02,0.386,
1987-03,0.392,
1987-04,0.396,
1987-05,0.396,
1987-06,0.395,
1987-07,0.392,
1987-08,0.280,
1987-09,0.281,
1987-10,0.282,
1987-11,0.284,
1987-12,0.261,
1988-01,0.258,
1988-02,0.243,
1988-03,0.233,
1988-04,0.234,
1988-05,0.243,
1988-06,0.239,
1988-07,0.232,
1988-08,0.225,
1988-09,0.226,
1988-10,0.222,
1988-11,0.223,
1988-12,0.217,
1989-01,0.213,
1989-02,0.209,
1989-03,.,No value available
1989-04,0.205,
1989-05,0.193,
1989-06,0.194,
