"",BBK01.OEBL01S,BBK01.OEBL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:04,
2002-01,1.904,
2002-04,1.848,
2002-07,1.808,
2002-10,1.819,
2003-01,1.742,
2003-04,1.688,
2003-07,1.678,
2003-10,1.685,
2004-01,1.613,
2004-04,1.580,
2004-07,1.569,
2004-10,1.620,
2005-01,3.039,
2005-04,3.040,
2005-07,3.021,
2005-10,3.080,
2006-01,3.112,
2006-04,3.094,
2006-07,3.011,
2006-10,3.081,
2007-01,3.273,
2007-04,3.365,
2007-07,3.429,
2007-10,3.601,
2008-01,3.656,
2008-04,3.730,
2008-07,3.867,
2008-10,4.157,
2009-01,4.138,
2009-04,4.140,
2009-07,4.123,
2009-10,4.071,
2010-01,4.023,
2010-04,4.104,
2010-07,4.095,
2010-10,4.186,
2011-01,4.233,
2011-04,4.229,
2011-07,4.243,
2011-10,4.400,
2012-01,4.483,
2012-04,4.509,
2012-07,4.551,
2012-10,4.580,
2013-01,4.582,
2013-04,4.561,
2013-07,4.523,
2013-10,4.552,
2014-01,4.599,
2014-04,4.633,
2014-07,4.735,
