"",BBK01.OEYI05H,BBK01.OEYI05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:01,
2002-01,58.885,
2002-04,56.888,
2002-07,57.281,
2002-10,58.775,
2003-01,59.440,
2003-04,59.624,
2003-07,58.635,
2003-10,64.317,
2004-01,64.095,
2004-04,65.447,
2004-07,65.529,
2004-10,65.708,
2005-01,66.207,
2005-04,66.102,
2005-07,66.027,
2005-10,66.267,
2006-01,65.757,
2006-04,65.527,
2006-07,65.489,
2006-10,67.697,
2007-01,69.721,
2007-04,69.582,
2007-07,68.746,
2007-10,68.740,
2008-01,77.105,
2008-04,77.487,
2008-07,78.029,
2008-10,78.009,
2009-01,79.488,
2009-04,75.703,
2009-07,84.531,
2009-10,84.412,
2010-01,82.880,
2010-04,82.185,
2010-07,81.298,
2010-10,93.824,
2011-01,87.780,
2011-04,85.996,
2011-07,85.333,
2011-10,84.733,
2012-01,83.419,
2012-04,82.930,
2012-07,82.156,
2012-10,80.758,
2013-01,80.226,
2013-04,79.394,
2013-07,73.852,
2013-10,73.668,
2014-01,73.979,
2014-04,73.326,
2014-07,73.167,
