"",BBFB1.M.N.DE.W1.S1.S1.T.B.SK._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SK._Z._Z._Z._T._X.N_FLAGS
"","Current account / Personal, cultural, and recreational services / Balance / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:02,
1991-01,-64.797,
1991-02,-63.075,
1991-03,-45.675,
1991-04,-130.776,
1991-05,-54.669,
1991-06,-68.042,
1991-07,-61.243,
1991-08,-58.687,
1991-09,-89.870,
1991-10,-43.413,
1991-11,-63.937,
1991-12,-80.961,
1992-01,-60.754,
1992-02,-56.159,
1992-03,-86.407,
1992-04,-42.847,
1992-05,-71.997,
1992-06,-115.292,
1992-07,-40.413,
1992-08,-78.283,
1992-09,-67.234,
1992-10,-112.273,
1992-11,-53.082,
1992-12,-86.718,
1993-01,-69.310,
1993-02,-100.598,
1993-03,-88.084,
1993-04,-92.071,
1993-05,-53.922,
1993-06,-104.399,
1993-07,-125.808,
1993-08,-110.757,
1993-09,-83.389,
1993-10,-67.407,
1993-11,-109.652,
1993-12,-131.674,
1994-01,-77.274,
1994-02,-95.551,
1994-03,-119.478,
1994-04,-67.964,
1994-05,-109.527,
1994-06,-123.383,
1994-07,-158.049,
1994-08,-150.363,
1994-09,-72.855,
1994-10,-129.035,
1994-11,-81.808,
1994-12,-149.641,
1995-01,-98.894,
1995-02,-83.670,
1995-03,-102.946,
1995-04,-118.676,
1995-05,-136.951,
1995-06,-91.060,
1995-07,-127.957,
1995-08,-97.859,
1995-09,-78.734,
1995-10,-104.051,
1995-11,-128.180,
1995-12,-136.747,
1996-01,-282.034,
1996-02,-107.023,
1996-03,-182.511,
1996-04,-196.183,
1996-05,-89.727,
1996-06,-176.397,
1996-07,-182.215,
1996-08,-113.400,
1996-09,-108.507,
1996-10,-97.601,
1996-11,-109.400,
1996-12,-206.389,
1997-01,-416.767,
1997-02,-96.858,
1997-03,-146.052,
1997-04,-150.712,
1997-05,-83.830,
1997-06,-242.211,
1997-07,-209.193,
1997-08,-169.214,
1997-09,-122.944,
1997-10,-224.066,
1997-11,-107.068,
1997-12,-175.097,
1998-01,-261.932,
1998-02,-155.393,
1998-03,-135.387,
1998-04,-143.277,
1998-05,-115.565,
1998-06,-89.819,
1998-07,-258.310,
1998-08,-150.437,
1998-09,-112.328,
1998-10,-191.258,
1998-11,-159.410,
