"",BBSF2.M.1.S.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Equity funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:24,
2009-09,9862,
2009-10,9401,
2009-11,9362,
2009-12,9824,
2010-01,9267,
2010-02,8853,
2010-03,9677,
2010-04,9378,
2010-05,8723,
2010-06,8493,
2010-07,8961,
2010-08,8383,
2010-09,8926,
2010-10,9328,
2010-11,8778,
2010-12,8677,
2011-01,9614,
2011-02,9784,
2011-03,9628,
2011-04,9549,
2011-05,9196,
2011-06,9020,
2011-07,8679,
2011-08,7969,
2011-09,7561,
2011-10,8084,
2011-11,7711,
2011-12,7594,
2012-01,7715,
2012-02,7673,
2012-03,7515,
2012-04,6776,
2012-05,6299,
2012-06,6430,
2012-07,6629,
2012-08,6609,
2012-09,6657,
2012-10,6693,
2012-11,6800,
2012-12,7297,
2013-01,7641,
2013-02,7512,
2013-03,7881,
2013-04,8163,
2013-05,8278,
2013-06,7802,
2013-07,8419,
2013-08,8468,
2013-09,8812,
2013-10,9187,
2013-11,9241,
2013-12,8931,
2014-01,8704,
2014-02,9249,
2014-03,9432,
2014-04,9717,
2014-05,9712,
2014-06,9743,
2014-07,9456,
2014-08,9668,
2014-09,9591,
2014-10,8907,
2014-11,9728,
