"",BBK01.OEYM01S,BBK01.OEYM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:35,
2002-01,1.493,
2002-04,1.427,
2002-07,1.397,
2002-10,1.496,
2003-01,1.490,
2003-04,1.464,
2003-07,1.442,
2003-10,1.545,
2004-01,1.537,
2004-04,1.511,
2004-07,1.496,
2004-10,0.100,
2005-01,0.110,
2005-04,0.104,
2005-07,0.099,
2005-10,0.107,
2006-01,0.135,
2006-04,0.136,
2006-07,0.140,
2006-10,0.076,
2007-01,0.101,
2007-04,0.122,
2007-07,0.127,
2007-10,0.070,
2008-01,0.102,
2008-04,0.108,
2008-07,0.130,
2008-10,0.060,
2009-01,0.247,
2009-04,0.126,
2009-07,0.204,
2009-10,0.147,
2010-01,0.132,
2010-04,0.236,
2010-07,0.310,
2010-10,0.110,
2011-01,0.162,
2011-04,0.109,
2011-07,0.131,
2011-10,0.107,
2012-01,0.123,
2012-04,0.092,
2012-07,0.209,
2012-10,0.098,
2013-01,0.143,
2013-04,0.190,
2013-07,0.171,
2013-10,0.095,
2014-01,0.100,
2014-04,0.293,
2014-07,0.253,
