"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:29,
2009-09,27616,
2009-10,27148,
2009-11,27766,
2009-12,29847,
2010-01,29738,
2010-02,30990,
2010-03,33662,
2010-04,34489,
2010-05,32565,
2010-06,32219,
2010-07,31812,
2010-08,31481,
2010-09,32383,
2010-10,33224,
2010-11,35958,
2010-12,38527,
2011-01,37075,
2011-02,37174,
2011-03,35413,
2011-04,35203,
2011-05,35938,
2011-06,34398,
2011-07,34945,
2011-08,30607,
2011-09,29639,
2011-10,31627,
2011-11,31211,
2011-12,32910,
2012-01,34682,
2012-02,35456,
2012-03,35741,
2012-04,35452,
2012-05,34209,
2012-06,34434,
2012-07,36760,
2012-08,37127,
2012-09,37523,
2012-10,36701,
2012-11,36718,
2012-12,36989,
2013-01,38294,
2013-02,40714,
2013-03,42878,
2013-04,42909,
2013-05,43765,
2013-06,41773,
2013-07,43067,
2013-08,42973,
2013-09,44002,
2013-10,44858,
2013-11,45049,
2013-12,44948,
2014-01,44093,
2014-02,45480,
2014-03,45502,
2014-04,46002,
2014-05,47823,
2014-06,48510,
2014-07,49157,
2014-08,50679,
2014-09,51445,
2014-10,51701,
2014-11,53158,
