"",BBFN1.M.DE.N.1.L.PT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2013-07,0.627,
2013-08,0.627,
2013-09,0.626,
2013-10,0.577,
2013-11,0.575,
2013-12,0.571,
2014-01,0.571,
2014-02,0.203,
2014-03,0.201,
2014-04,0.201,
2014-05,0.201,
2014-06,0.201,
2014-07,0.201,
2014-08,0.202,
2014-09,0.202,
2014-10,0.202,
2014-11,0.202,
2014-12,0.202,
