"",BBEX3.M.JMD.USD.CA.AA.A01,BBEX3.M.JMD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Jamaica / USD 1 = JMD ... (buying),
unit,JMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:11,
1990-01,6.9000,
1990-02,6.9000,
1990-03,6.9000,
1990-04,6.9000,
1990-05,6.9000,
1990-06,6.9000,
1990-07,6.9000,
1990-08,6.9000,
1990-09,7.8600,
1990-10,7.8800,
1990-11,7.9509,
1990-12,7.9527,
1991-01,8.0204,
1991-02,8.1185,
1991-03,8.2438,
1991-04,8.4508,
1991-05,9.0000,
1991-06,9.9619,
1991-07,10.0663,
1991-08,11.3727,
1991-09,16.0000,
1991-10,17.9500,
1991-11,18.1500,
1991-12,19.0000,
1992-01,20.3000,
1992-02,21.5000,
1992-03,24.5000,
1992-04,24.4155,
1992-05,22.8742,
1992-06,22.2700,
1992-07,22.1500,
1992-08,22.1500,
1992-09,22.1500,
1992-10,22.1500,
1992-11,22.1500,
1992-12,22.1700,
1993-01,22.1800,
1993-02,22.1800,
1993-03,22.1800,
1993-04,22.1800,
1993-05,22.1800,
1993-06,23.7500,
1993-07,24.6000,
1993-08,25.4500,
1993-09,27.5000,
1993-10,27.5000,
1993-11,29.0000,
1993-12,29.0000,
1994-01,31.1000,
1994-02,31.1000,
1994-03,31.1000,
1994-04,31.1000,
1994-05,31.1000,
1994-06,32.0500,
1994-07,32.4000,
1994-08,32.4000,
1994-09,32.4000,
1994-10,32.4000,
1994-11,32.4000,
1994-12,32.4000,
1995-01,32.4000,
1995-02,32.4000,
1995-03,32.7000,
1995-04,32.7000,
1995-05,32.9000,
1995-06,33.0000,
1995-07,33.2000,
1995-08,33.9500,
1995-09,36.0000,
1995-10,36.5500,
1995-11,38.7700,
1995-12,38.7700,
1996-01,38.5500,
1996-02,38.5500,
1996-03,38.5500,
1996-04,38.5500,
1996-05,37.9000,
1996-06,35.0000,
1996-07,35.0000,
1996-08,34.4500,
1996-09,34.6000,
1996-10,34.6000,
1996-11,34.6000,
1996-12,34.6000,
1997-01,34.4000,
1997-02,34.5000,
1997-03,34.5000,
1997-04,34.9500,
1997-05,34.9000,
1997-06,35.0000,
1997-07,35.0000,
1997-08,35.1500,
1997-09,35.5000,
1997-10,35.5000,
1997-11,35.5000,
1997-12,35.6400,
1998-01,35.6400,
1998-02,35.6400,
1998-03,35.6400,
1998-04,35.6400,
1998-05,35.6400,
1998-06,35.6400,
1998-07,35.6400,
1998-08,35.6400,
1998-09,36.1000,
1998-10,36.3500,
1998-11,36.3500,
1998-12,36.3500,
1999-01,36.3500,
1999-02,36.6000,
1999-03,36.7000,
1999-04,36.7000,
1999-05,36.9500,
1999-06,37.3000,
1999-07,38.0500,
1999-08,38.0500,
1999-09,38.6000,
1999-10,38.9000,
1999-11,39.8000,
1999-12,39.8000,
2000-01,41.8722,
2000-02,41.7521,
2000-03,42.0075,
2000-04,41.8699,
2000-05,42.0175,
2000-06,42.1708,
2000-07,42.2776,
2000-08,43.0197,
2000-09,44.3975,
2000-10,44.4192,
2000-11,45.2032,
2000-12,45.3012,
2001-01,45.5332,
2001-02,45.5272,
2001-03,45.5307,
2001-04,45.4099,
2001-05,45.6267,
2001-06,45.7126,
2001-07,45.5468,
2001-08,45.6518,
