"",BBK01.OECJ03N,BBK01.OECJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:26,
2002-01,4.671,
2002-04,4.618,
2002-07,4.689,
2002-10,5.121,
2003-01,4.891,
2003-04,4.848,
2003-07,3.921,
2003-10,3.616,
2004-01,3.594,
2004-04,3.720,
2004-07,4.447,
2004-10,4.875,
2005-01,6.722,
2005-04,6.767,
2005-07,7.046,
2005-10,7.489,
2006-01,8.421,
2006-04,8.282,
2006-07,8.805,
2006-10,8.984,
2007-01,8.595,
2007-04,8.715,
2007-07,9.563,
2007-10,12.125,
2008-01,12.200,
2008-04,11.740,
2008-07,13.363,
2008-10,18.323,
2009-01,15.837,
2009-04,13.446,
2009-07,18.368,
2009-10,14.455,
2010-01,10.620,
2010-04,19.071,
2010-07,12.669,
2010-10,16.318,
2011-01,12.448,
2011-04,17.486,
2011-07,15.493,
2011-10,20.357,
2012-01,12.237,
2012-04,20.368,
2012-07,20.088,
2012-10,12.810,
2013-01,10.874,
2013-04,9.942,
2013-07,9.524,
2013-10,8.676,
2014-01,9.427,
2014-04,8.966,
2014-07,8.314,
