"",BBK01.OEHJ06Q,BBK01.OEHJ06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:47,
2002-01,0.386,
2002-04,0.411,
2002-07,0.402,
2002-10,0.397,
2003-01,0.388,
2003-04,0.381,
2003-07,0.370,
2003-10,0.365,
2004-01,0.409,
2004-04,0.364,
2004-07,0.364,
2004-10,0.370,
2005-01,0.363,
2005-04,0.360,
2005-07,0.343,
2005-10,0.338,
2006-01,0.338,
2006-04,0.351,
2006-07,0.334,
2006-10,0.303,
2007-01,0.322,
2007-04,0.322,
2007-07,0.316,
2007-10,0.311,
2008-01,0.301,
2008-04,0.295,
2008-07,0.303,
2008-10,0.308,
2009-01,0.308,
2009-04,0.308,
2009-07,0.305,
2009-10,0.312,
2010-01,0.298,
2010-04,0.283,
2010-07,0.664,
2010-10,0.743,
2011-01,0.528,
2011-04,0.562,
2011-07,0.506,
2011-10,0.495,
2012-01,0.489,
2012-04,0.483,
2012-07,0.471,
2012-10,0.440,
2013-01,0.457,
2013-04,0.435,
2013-07,0.416,
2013-10,0.388,
2014-01,0.352,
2014-04,0.344,
2014-07,0.350,
