"",BBK01.OEAF11T,BBK01.OEAF11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:06,
2002-01,0.350,
2002-04,0.354,
2002-07,0.400,
2002-10,0.366,
2003-01,0.358,
2003-04,0.377,
2003-07,0.387,
2003-10,0.370,
2004-01,0.336,
2004-04,0.338,
2004-07,0.342,
2004-10,0.357,
2005-01,0.341,
2005-04,0.353,
2005-07,0.368,
2005-10,0.360,
2006-01,0.329,
2006-04,0.343,
2006-07,0.369,
2006-10,0.352,
2007-01,0.346,
2007-04,0.344,
2007-07,0.315,
2007-10,0.330,
2008-01,0.306,
2008-04,0.307,
2008-07,0.317,
2008-10,0.325,
2009-01,0.307,
2009-04,0.315,
2009-07,0.309,
2009-10,0.308,
2010-01,0.288,
2010-04,0.289,
2010-07,0.304,
2010-10,0.298,
2011-01,0.288,
2011-04,0.287,
2011-07,0.294,
2011-10,0.277,
2012-01,0.278,
2012-04,0.282,
2012-07,0.239,
2012-10,0.239,
2013-01,0.233,
2013-04,0.229,
2013-07,0.242,
2013-10,0.232,
2014-01,0.233,
2014-04,0.233,
2014-07,0.232,
