"",BBK01.OEBB23L,BBK01.OEBB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:23,
2002-01,0.139,
2002-04,0.111,
2002-07,0.259,
2002-10,0.216,
2003-01,0.227,
2003-04,0.379,
2003-07,0.327,
2003-10,0.676,
2004-01,0.842,
2004-04,0.845,
2004-07,0.852,
2004-10,0.870,
2005-01,0.958,
2005-04,0.898,
2005-07,1.188,
2005-10,3.516,
2006-01,3.159,
2006-04,2.924,
2006-07,2.598,
2006-10,2.710,
2007-01,2.507,
2007-04,1.998,
2007-07,1.694,
2007-10,1.542,
2008-01,2.129,
2008-04,1.823,
2008-07,1.633,
2008-10,1.649,
2009-01,1.634,
2009-04,1.530,
2009-07,1.551,
2009-10,1.460,
2010-01,1.101,
2010-04,1.049,
2010-07,1.220,
2010-10,1.264,
2011-01,1.059,
2011-04,1.255,
2011-07,1.403,
2011-10,1.290,
2012-01,1.303,
2012-04,1.225,
2012-07,1.437,
2012-10,2.494,
2013-01,2.574,
2013-04,2.772,
2013-07,2.594,
2013-10,1.664,
2014-01,1.742,
2014-04,1.975,
2014-07,1.834,
