"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:51,
2009-09,22460,
2009-10,21465,
2009-11,21676,
2009-12,23297,
2010-01,23374,
2010-02,24536,
2010-03,26642,
2010-04,27472,
2010-05,26700,
2010-06,26548,
2010-07,26357,
2010-08,26403,
2010-09,27449,
2010-10,27925,
2010-11,30078,
2010-12,32283,
2011-01,30815,
2011-02,31298,
2011-03,30537,
2011-04,30728,
2011-05,31790,
2011-06,30895,
2011-07,31307,
2011-08,28468,
2011-09,27030,
2011-10,29002,
2011-11,28797,
2011-12,30510,
2012-01,31732,
2012-02,33003,
2012-03,33087,
2012-04,33250,
2012-05,32175,
2012-06,32491,
2012-07,34198,
2012-08,34325,
2012-09,34858,
2012-10,34742,
2012-11,35435,
2012-12,36057,
2013-01,37694,
2013-02,39696,
2013-03,42451,
2013-04,42521,
2013-05,43390,
2013-06,42477,
2013-07,44002,
2013-08,44052,
2013-09,45901,
2013-10,47729,
2013-11,48428,
2013-12,48189,
2014-01,47727,
2014-02,48973,
2014-03,49319,
2014-04,50038,
2014-05,52848,
2014-06,53930,
2014-07,55367,
2014-08,57847,
2014-09,58307,
2014-10,59964,
2014-11,61849,
