"",BBK01.OEAN07G,BBK01.OEAN07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:48,
2002-01,1.966,
2002-04,1.925,
2002-07,1.937,
2002-10,2.097,
2003-01,1.950,
2003-04,1.969,
2003-07,1.961,
2003-10,2.405,
2004-01,1.969,
2004-04,2.021,
2004-07,1.720,
2004-10,1.592,
2005-01,1.186,
2005-04,1.168,
2005-07,1.127,
2005-10,1.100,
2006-01,1.013,
2006-04,1.002,
2006-07,1.107,
2006-10,1.076,
2007-01,0.942,
2007-04,0.914,
2007-07,0.890,
2007-10,0.883,
2008-01,0.799,
2008-04,0.754,
2008-07,0.734,
2008-10,0.739,
2009-01,0.704,
2009-04,0.745,
2009-07,0.811,
2009-10,0.971,
2010-01,1.031,
2010-04,1.158,
2010-07,1.234,
2010-10,1.139,
2011-01,1.106,
2011-04,1.093,
2011-07,1.137,
2011-10,1.285,
2012-01,1.549,
2012-04,1.745,
2012-07,1.857,
2012-10,2.003,
2013-01,1.954,
2013-04,1.998,
2013-07,2.057,
2013-10,2.144,
2014-01,2.160,
2014-04,2.157,
2014-07,2.191,
