"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:49,
1991-01,-98.897,
1991-04,18.569,
1991-07,0.989,
1991-10,-2.590,
1992-01,-146.337,
1992-04,-98.731,
1992-07,-272.453,
1992-10,98.076,
1993-01,-53.410,
1993-04,-275.757,
1993-07,15.666,
1993-10,11.049,
1994-01,15.407,
1994-04,20.463,
1994-07,8.738,
1994-10,43.364,
1995-01,11.472,
1995-04,-50.313,
1995-07,56.358,
1995-10,-7.857,
1996-01,10.422,
1996-04,43.220,
1996-07,74.246,
1996-10,11.690,
1997-01,-5.196,
1997-04,47.557,
1997-07,-1.693,
1997-10,102.201,
1998-01,-29.293,
1998-04,10.876,
1998-07,160.613,
1998-10,45.362,
1999-01,187.911,
1999-04,24.238,
1999-07,-37.528,
1999-10,-14.099,
2000-01,0.637,
2000-04,-102.446,
2000-07,0.198,
2000-10,-13.529,
2001-01,166.030,
2001-04,-168.127,
2001-07,-2.450,
2001-10,18.987,
2002-01,27.230,
2002-04,8.749,
2002-07,-2.276,
2002-10,2.483,
2003-01,61.528,
2003-04,6.725,
2003-07,-16.736,
2003-10,-32.358,
2004-01,-27.912,
2004-04,48.632,
2004-07,43.232,
2004-10,40.596,
2005-01,-9.769,
2005-04,4.389,
2005-07,-86.131,
2005-10,-22.581,
2006-01,377.844,
2006-04,226.225,
2006-07,-64.450,
2006-10,-2.526,
2007-01,-24.372,
2007-04,16.314,
2007-07,-99.000,
2007-10,-114.557,
2008-01,3.467,
2008-04,227.787,
2008-07,-1.968,
2008-10,-3.213,
2009-01,7.905,
2009-04,-183.373,
2009-07,5.413,
2009-10,1.330,
2010-01,23.437,
2010-04,-10.115,
2010-07,85.450,
2010-10,50.546,
2011-01,95.538,
2011-04,-1.744,
2011-07,-9.104,
2011-10,302.307,
2012-01,24.205,
2012-04,-8.665,
2012-07,13.505,
2012-10,125.826,
2013-01,339.486,
2013-04,85.987,
2013-07,446.723,
2013-10,319.246,
2014-01,122.862,Provisional value
2014-04,242.117,Provisional value
2014-07,-538.150,Provisional value
2014-10,-319.375,Provisional value
