"",BBFB1.Q.N.DE.ES.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:56,
1991-01,1125.312,
1991-04,1363.190,
1991-07,1609.498,
1991-10,1504.438,
1992-01,1813.411,
1992-04,1604.724,
1992-07,1761.347,
1992-10,798.440,
1993-01,987.945,
1993-04,877.985,
1993-07,795.328,
1993-10,734.932,
1994-01,513.301,
1994-04,690.087,
1994-07,786.186,
1994-10,728.324,
1995-01,526.628,
1995-04,652.569,
1995-07,673.053,
1995-10,309.216,
1996-01,497.602,
1996-04,499.223,
1996-07,823.840,
1996-10,468.948,
1997-01,459.191,
1997-04,626.987,
1997-07,857.885,
1997-10,642.292,
1998-01,765.894,
1998-04,861.786,
1998-07,1142.724,
1998-10,1638.351,
1999-01,1365.716,
1999-04,1576.283,
1999-07,2273.091,
1999-10,2229.789,
2000-01,2236.287,
2000-04,2439.812,
2000-07,2268.116,
2000-10,2685.719,
2001-01,2503.000,
2001-04,2549.701,
2001-07,3219.485,
2001-10,3223.761,
2002-01,2805.610,
2002-04,3576.079,
2002-07,3316.604,
2002-10,3439.377,
2003-01,3501.657,
2003-04,3434.158,
2003-07,3713.349,
2003-10,4338.269,
2004-01,4385.123,
2004-04,5098.614,
2004-07,4182.344,
2004-10,4309.385,
2005-01,5558.203,
2005-04,6235.511,
2005-07,5745.999,
2005-10,6359.181,
2006-01,5679.719,
2006-04,6032.069,
2006-07,5669.985,
2006-10,5894.869,
2007-01,6974.807,
2007-04,7135.589,
2007-07,6676.356,
2007-10,7117.230,
2008-01,6704.340,
2008-04,6639.568,
2008-07,5173.536,
2008-10,2795.896,
2009-01,2620.223,
2009-04,1363.217,
2009-07,2144.696,
2009-10,2888.404,
2010-01,3248.496,
2010-04,1566.427,
2010-07,2322.410,
2010-10,2795.190,
2011-01,2252.690,
2011-04,1805.853,
2011-07,2417.469,
2011-10,1743.732,
2012-01,1477.256,
2012-04,968.865,
2012-07,1454.404,
2012-10,1144.855,
2013-01,973.279,
2013-04,1192.062,
2013-07,1215.058,
2013-10,1167.100,
2014-01,1812.041,Provisional value
2014-04,1311.320,Provisional value
2014-07,2126.023,Provisional value
