"",BBK01.BJ9072,BBK01.BJ9072_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty - Germany - local government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:52,
1991,2330,
1992,-2642,
1993,-462,
1994,-1536,
1995,-3488,
1996,-513,
1997,-1212,
1998,2563,
1999,3705,
2000,3275,
2001,-3521,
2002,-6012,
2003,-8331,
2004,-3506,
2005,-81,
2006,3381,
2007,11186,
2008,9270,
2009,-2711,
2010,-6169,
2011,1407,Provisional value
2012,4730,Provisional value
2013,5327,Provisional value
2014,1748,Provisional value
