"",BBK01.OEHO03H,BBK01.OEHO03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:53,
2002-01,5.437,
2002-04,4.395,
2002-07,4.170,
2002-10,4.218,
2003-01,5.156,
2003-04,3.888,
2003-07,4.247,
2003-10,4.429,
2004-01,4.642,
2004-04,4.320,
2004-07,4.008,
2004-10,4.333,
2005-01,4.458,
2005-04,3.854,
2005-07,3.616,
2005-10,4.165,
2006-01,4.584,
2006-04,4.176,
2006-07,4.176,
2006-10,4.993,
2007-01,5.570,
2007-04,4.570,
2007-07,4.353,
2007-10,4.852,
2008-01,5.058,
2008-04,4.355,
2008-07,4.405,
2008-10,4.748,
2009-01,4.259,
2009-04,3.801,
2009-07,3.523,
2009-10,3.654,
2010-01,3.278,
2010-04,3.024,
2010-07,2.866,
2010-10,3.073,
2011-01,3.325,
2011-04,3.320,
2011-07,3.150,
2011-10,3.221,
2012-01,3.198,
2012-04,3.040,
2012-07,2.967,
2012-10,3.235,
2013-01,3.079,
2013-04,2.906,
2013-07,3.045,
2013-10,2.627,
2014-01,2.813,
2014-04,2.707,
2014-07,2.674,
