"",BBK01.OEYI10I,BBK01.OEYI10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:33,
2002-01,0.087,
2002-04,0.086,
2002-07,0.086,
2002-10,0.087,
2003-01,0.087,
2003-04,0.084,
2003-07,0.086,
2003-10,0.088,
2004-01,0.087,
2004-04,0.084,
2004-07,0.082,
2004-10,0.086,
2005-01,0.085,
2005-04,0.112,
2005-07,0.111,
2005-10,0.126,
2006-01,0.157,
2006-04,0.512,
2006-07,0.547,
2006-10,0.541,
2007-01,0.536,
2007-04,0.488,
2007-07,0.439,
2007-10,0.434,
2008-01,0.365,
2008-04,0.321,
2008-07,0.300,
2008-10,0.299,
2009-01,0.198,
2009-04,0.188,
2009-07,0.188,
2009-10,0.189,
2010-01,0.173,
2010-04,0.161,
2010-07,0.161,
2010-10,0.163,
2011-01,0.142,
2011-04,0.133,
2011-07,0.132,
2011-10,0.135,
2012-01,0.126,
2012-04,0.122,
2012-07,0.120,
2012-10,0.124,
2013-01,0.127,
2013-04,0.138,
2013-07,0.142,
2013-10,0.150,
2014-01,0.152,
2014-04,0.156,
2014-07,0.162,
