"",BBK01.OEAH17L,BBK01.OEAH17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:10,
2002-01,138.315,
2002-04,142.509,
2002-07,144.953,
2002-10,144.706,
2003-01,144.611,
2003-04,147.160,
2003-07,152.180,
2003-10,149.795,
2004-01,148.876,
2004-04,150.436,
2004-07,150.001,
2004-10,153.387,
2005-01,153.824,
2005-04,160.747,
2005-07,164.649,
2005-10,158.435,
2006-01,170.930,
2006-04,172.754,
2006-07,179.083,
2006-10,173.638,
2007-01,176.976,
2007-04,186.722,
2007-07,192.677,
2007-10,208.644,
2008-01,212.328,
2008-04,220.088,
2008-07,229.132,
2008-10,241.823,
2009-01,234.724,
2009-04,231.384,
2009-07,210.983,
2009-10,202.270,
2010-01,198.140,
2010-04,200.744,
2010-07,203.163,
2010-10,228.235,
2011-01,216.645,
2011-04,238.786,
2011-07,234.012,
2011-10,231.057,
2012-01,220.995,
2012-04,221.623,
2012-07,214.237,
2012-10,215.342,
2013-01,215.634,
2013-04,227.309,
2013-07,191.112,
2013-10,193.219,
2014-01,193.407,
2014-04,192.591,
2014-07,194.560,
