"",BBK01.OEAK04K,BBK01.OEAK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:25,
2002-01,1.822,
2002-04,1.823,
2002-07,1.910,
2002-10,2.191,
2003-01,2.011,
2003-04,1.893,
2003-07,1.982,
2003-10,1.727,
2004-01,1.821,
2004-04,1.712,
2004-07,1.633,
2004-10,1.507,
2005-01,1.448,
2005-04,1.373,
2005-07,1.317,
2005-10,1.220,
2006-01,1.229,
2006-04,1.241,
2006-07,1.445,
2006-10,1.451,
2007-01,1.484,
2007-04,1.493,
2007-07,1.633,
2007-10,2.027,
2008-01,1.834,
2008-04,1.973,
2008-07,2.254,
2008-10,2.222,
2009-01,1.416,
2009-04,1.354,
2009-07,1.135,
2009-10,0.964,
2010-01,0.880,
2010-04,0.789,
2010-07,0.791,
2010-10,0.918,
2011-01,0.918,
2011-04,0.935,
2011-07,1.030,
2011-10,1.049,
2012-01,0.930,
2012-04,0.760,
2012-07,0.659,
2012-10,0.532,
2013-01,0.430,
2013-04,0.390,
2013-07,0.396,
2013-10,0.372,
2014-01,0.360,
2014-04,0.336,
2014-07,0.295,
