"",BBK01.TVD408,BBK01.TVD408_FLAGS
"",Lending to banks (MFIS) in the euro area / in other member states / Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:45,
1980-01,0,
1980-02,165,
1980-03,860,
1980-04,280,
1980-05,-76,
1980-06,-95,
1980-07,-190,
1980-08,314,
1980-09,-9,
1980-10,750,
1980-11,680,
1980-12,-219,
1981-01,81,
1981-02,10,
1981-03,439,
1981-04,-291,
1981-05,768,
1981-06,-29,
1981-07,307,
1981-08,175,
1981-09,-402,
1981-10,445,
1981-11,526,
1981-12,471,
1982-01,-601,
1982-02,321,
1982-03,-7,
1982-04,-359,
1982-05,194,
1982-06,105,
1982-07,-81,
1982-08,119,
1982-09,263,
1982-10,115,
1982-11,297,
1982-12,170,
1983-01,-581,
1983-02,-159,
1983-03,-362,
1983-04,75,
1983-05,254,
1983-06,685,
1983-07,-387,
1983-08,-76,
1983-09,421,
1983-10,143,
1983-11,447,
1983-12,589,
1984-01,-376,
1984-02,109,
1984-03,-32,
1984-04,-187,
1984-05,340,
1984-06,138,
1984-07,-63,
1984-08,67,
1984-09,1258,
1984-10,389,
1984-11,578,
1984-12,1272,
1985-01,-310,
1985-02,1257,
1985-03,-606,
1985-04,-208,
1985-05,-161,
1985-06,1232,
1985-07,-676,
1985-08,165,
1985-09,76,
1985-10,489,
1985-11,545,
1985-12,2165,
1986-01,-302,
1986-02,1140,
1986-03,398,
1986-04,-115,
1986-05,876,
1986-06,514,
1986-07,-526,
1986-08,1160,
1986-09,1719,
1986-10,-128,
1986-11,1660,
1986-12,442,
1987-01,-232,
1987-02,508,
1987-03,1090,
1987-04,207,
1987-05,996,
1987-06,974,
1987-07,-515,
1987-08,100,
1987-09,43,
1987-10,-268,
1987-11,-448,
1987-12,-243,
1988-01,-329,
1988-02,439,
1988-03,-341,
1988-04,-490,
1988-05,526,
1988-06,1679,
1988-07,644,
1988-08,888,
1988-09,925,
1988-10,-56,
1988-11,204,
1988-12,-40,
1989-01,-1019,
1989-02,-478,
1989-03,703,
1989-04,783,
1989-05,1953,
1989-06,1206,
1989-07,-71,
1989-08,891,
1989-09,579,
1989-10,358,
1989-11,3036,
1989-12,878,
1990-01,-310,
1990-02,798,
1990-03,-134,
1990-04,463,
1990-05,720,
1990-06,3660,
1990-07,500,
1990-08,122,
1990-09,1222,
1990-10,-1142,
1990-11,1460,
1990-12,1584,
1991-01,-915,
1991-02,2226,
1991-03,178,
1991-04,-2028,
1991-05,-683,
1991-06,1345,
1991-07,-1828,
1991-08,556,
1991-09,-224,
1991-10,472,
1991-11,1466,
1991-12,253,
1992-01,-194,
1992-02,-311,
1992-03,80,
1992-04,-349,
1992-05,-675,
1992-06,-1493,
1992-07,-123,
1992-08,229,
1992-09,74,
1992-10,2773,
1992-11,1111,
1992-12,-1318,
1993-01,-963,
1993-02,2401,
1993-03,1508,
1993-04,55,
1993-05,888,
1993-06,4275,
1993-07,160,
1993-08,-3845,
1993-09,2302,
1993-10,937,
1993-11,2703,
1993-12,7519,
1994-01,-1021,
1994-02,-2011,
1994-03,-7506,
1994-04,-3267,
1994-05,966,
1994-06,-2459,
1994-07,931,
1994-08,-318,
1994-09,1428,
1994-10,-1156,
1994-11,4505,
1994-12,6387,
1995-01,-4796,
1995-02,3638,
1995-03,-2526,
1995-04,-1448,
1995-05,1011,
1995-06,3540,
1995-07,-4844,
1995-08,4241,
1995-09,-81,
1995-10,-2630,
1995-11,7723,
1995-12,2801,
1996-01,-1520,
1996-02,1790,
1996-03,-900,
1996-04,-4881,
1996-05,237,
1996-06,5230,
1996-07,-1431,
1996-08,805,
1996-09,3155,
1996-10,530,
1996-11,3861,
1996-12,4992,
1997-01,-5858,
1997-02,3896,
1997-03,288,
1997-04,-1651,
1997-05,-3638,
1997-06,10716,
1997-07,-2774,
1997-08,-884,
1997-09,4945,
1997-10,158,
1997-11,5535,
1997-12,3055,
1998-01,-968,
1998-02,-2899,
1998-03,2128,
1998-04,5325,
1998-05,3191,
1998-06,3621,
1998-07,-6709,
1998-08,4391,
1998-09,3058,
1998-10,3522,
1998-11,10031,
1998-12,5891,
1999-01,42030,
1999-02,-14083,
1999-03,-6647,
1999-04,2527,
1999-05,186,
1999-06,2820,
1999-07,3009,
1999-08,1386,
1999-09,5163,
1999-10,48,
1999-11,5952,
1999-12,-22651,
2000-01,8508,
2000-02,-2136,
2000-03,1794,
2000-04,-4114,
2000-05,3766,
2000-06,48,
2000-07,-4631,
2000-08,9141,
2000-09,9620,
2000-10,-5314,
2000-11,1201,
2000-12,2179,
2001-01,1358,
2001-02,326,
2001-03,25886,
2001-04,-3488,
2001-05,-7353,
2001-06,14690,
2001-07,-6373,
2001-08,-717,
2001-09,5896,
2001-10,1038,
2001-11,8269,
2001-12,-7621,
2002-01,-4468,
2002-02,-13155,
2002-03,10611,
2002-04,8285,
2002-05,12400,
2002-06,9870,
2002-07,3233,
2002-08,7055,
2002-09,4826,
2002-10,3564,
2002-11,10436,
2002-12,6826,
2003-01,6768,
2003-02,12490,
2003-03,-27,
2003-04,3934,
2003-05,14709,
2003-06,472,
2003-07,-8397,
2003-08,-2262,
2003-09,3385,
2003-10,-12790,
2003-11,8587,
2003-12,-2571,
2004-01,-10330,
2004-02,4290,
2004-03,-1183,
2004-04,-526,
2004-05,7174,
2004-06,10467,
2004-07,3271,
2004-08,-3886,
2004-09,-4479,
2004-10,11494,
