"",BBDE1.M.DE.Y.GUA1.P2XG75064.A.V.I10.A,BBDE1.M.DE.Y.GUA1.P2XG75064.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.52+47.53+47.54+47.59-47.59.3 Retail trade of furniture, furnishings, domestic appliances and building materials / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:05,
1994-01,116.3,
1994-02,112.2,
1994-03,114.5,
1994-04,111.8,
1994-05,111.0,
1994-06,113.1,
1994-07,111.5,
1994-08,115.0,
1994-09,116.9,
1994-10,116.4,
1994-11,117.2,
1994-12,125.8,
1995-01,112.8,
1995-02,116.2,
1995-03,113.4,
1995-04,112.9,
1995-05,114.5,
1995-06,113.3,
1995-07,111.2,
1995-08,112.3,
1995-09,110.9,
1995-10,113.0,
1995-11,112.0,
1995-12,112.8,
1996-01,110.6,
1996-02,106.4,
1996-03,110.2,
1996-04,111.2,
1996-05,112.4,
1996-06,111.0,
1996-07,113.1,
1996-08,111.0,
1996-09,111.7,
1996-10,110.4,
1996-11,111.1,
1996-12,110.6,
1997-01,110.1,
1997-02,109.8,
1997-03,109.1,
1997-04,111.5,
1997-05,108.8,
1997-06,111.8,
1997-07,110.8,
1997-08,107.4,
1997-09,109.5,
1997-10,109.3,
1997-11,109.5,
1997-12,109.6,
1998-01,112.8,
1998-02,112.9,
1998-03,124.4,
1998-04,107.9,
1998-05,110.1,
1998-06,111.1,
1998-07,111.7,
1998-08,111.7,
1998-09,111.5,
1998-10,109.9,
1998-11,112.9,
1998-12,112.3,
1999-01,110.6,
1999-02,108.3,
1999-03,111.7,
1999-04,107.8,
1999-05,110.4,
1999-06,109.8,
1999-07,108.3,
1999-08,111.3,
1999-09,108.8,
1999-10,108.8,
1999-11,108.9,
1999-12,112.4,
2000-01,110.9,
2000-02,116.4,
2000-03,111.2,
2000-04,113.5,
2000-05,111.6,
2000-06,110.7,
2000-07,111.0,
2000-08,110.0,
2000-09,109.4,
2000-10,110.9,
2000-11,110.5,
2000-12,110.2,
2001-01,110.8,
2001-02,109.6,
2001-03,107.9,
2001-04,109.5,
2001-05,109.6,
2001-06,108.4,
2001-07,107.4,
2001-08,107.5,
2001-09,106.1,
2001-10,106.2,
2001-11,107.6,
2001-12,104.0,
2002-01,101.6,
2002-02,101.4,
2002-03,101.1,
2002-04,100.0,
2002-05,101.7,
2002-06,97.4,
2002-07,101.6,
2002-08,100.1,
2002-09,102.1,
2002-10,99.6,
2002-11,99.4,
2002-12,97.8,
2003-01,99.0,
2003-02,98.9,
2003-03,103.1,
2003-04,100.4,
2003-05,98.3,
2003-06,98.6,
2003-07,98.0,
2003-08,98.7,
2003-09,98.9,
2003-10,98.6,
2003-11,99.8,
2003-12,98.8,
2004-01,100.9,
2004-02,103.3,
2004-03,104.8,
2004-04,103.2,
2004-05,102.3,
2004-06,102.6,
2004-07,101.0,
2004-08,100.9,
2004-09,101.0,
2004-10,101.6,
2004-11,101.5,
2004-12,102.9,
2005-01,103.5,
2005-02,100.2,
2005-03,99.6,
2005-04,99.3,
2005-05,99.9,
2005-06,100.5,
2005-07,100.7,
2005-08,100.7,
2005-09,99.2,
2005-10,101.4,
2005-11,100.0,
2005-12,101.7,
2006-01,101.4,
2006-02,100.6,
2006-03,99.5,
2006-04,102.5,
2006-05,104.0,
2006-06,101.8,
2006-07,99.0,
2006-08,103.5,
2006-09,102.9,
2006-10,106.2,
2006-11,108.2,
2006-12,116.2,
2007-01,97.1,
2007-02,100.5,
2007-03,102.0,
2007-04,100.4,
2007-05,97.1,
2007-06,99.5,
2007-07,98.7,
2007-08,99.3,
2007-09,99.6,
2007-10,99.1,
2007-11,98.5,
2007-12,97.8,
2008-01,101.1,
2008-02,103.5,
2008-03,101.3,
2008-04,98.8,
2008-05,100.6,
2008-06,99.7,
2008-07,99.6,
2008-08,99.6,
2008-09,100.0,
2008-10,99.1,
2008-11,100.3,
2008-12,100.2,
2009-01,96.4,
2009-02,95.5,
2009-03,96.0,
2009-04,100.7,
2009-05,97.5,
2009-06,97.5,
2009-07,98.2,
2009-08,96.5,
2009-09,98.4,
2009-10,97.0,
2009-11,98.3,
2009-12,98.5,
2010-01,93.4,
2010-02,97.4,
2010-03,99.9,
2010-04,99.4,
2010-05,102.9,
2010-06,102.8,
2010-07,100.5,
2010-08,101.8,
2010-09,99.7,
2010-10,101.3,
2010-11,100.4,
2010-12,99.6,
2011-01,102.8,
2011-02,104.5,
2011-03,101.5,
2011-04,104.8,
2011-05,101.0,
2011-06,103.0,
2011-07,103.5,
2011-08,102.8,
2011-09,103.9,
2011-10,105.2,
2011-11,104.0,
2011-12,107.8,
2012-01,103.9,
2012-02,103.0,
2012-03,107.5,
2012-04,104.2,
2012-05,104.1,
2012-06,104.4,
2012-07,105.3,
2012-08,106.2,
2012-09,104.9,
2012-10,104.7,
2012-11,104.2,
2012-12,102.4,
2013-01,103.5,
2013-02,102.3,
2013-03,100.3,
2013-04,102.4,
2013-05,105.0,
2013-06,103.6,
2013-07,103.6,
2013-08,100.0,
2013-09,103.2,
2013-10,101.8,
2013-11,102.3,
2013-12,99.9,
2014-01,102.3,Provisional value
2014-02,104.4,Provisional value
2014-03,103.7,Provisional value
2014-04,102.6,Provisional value
2014-05,101.2,Provisional value
2014-06,102.0,Provisional value
2014-07,100.8,Provisional value
2014-08,102.0,Provisional value
2014-09,101.2,Provisional value
2014-10,102.2,Provisional value
2014-11,103.4,Provisional value
2014-12,104.4,Provisional value
