"",BBK01.OEBI06I,BBK01.OEBI06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:46,
2002-01,0.783,
2002-04,0.784,
2002-07,0.773,
2002-10,0.769,
2003-01,0.733,
2003-04,0.717,
2003-07,0.667,
2003-10,0.646,
2004-01,0.654,
2004-04,0.644,
2004-07,0.629,
2004-10,0.591,
2005-01,0.596,
2005-04,0.579,
2005-07,0.567,
2005-10,0.545,
2006-01,0.534,
2006-04,0.533,
2006-07,0.550,
2006-10,0.540,
2007-01,0.907,
2007-04,1.022,
2007-07,1.052,
2007-10,1.717,
2008-01,1.909,
2008-04,2.118,
2008-07,2.262,
2008-10,2.392,
2009-01,2.706,
2009-04,2.651,
2009-07,2.560,
2009-10,2.636,
2010-01,2.981,
2010-04,3.374,
2010-07,3.485,
2010-10,0.964,
2011-01,1.013,
2011-04,1.112,
2011-07,1.153,
2011-10,1.129,
2012-01,1.085,
2012-04,1.101,
2012-07,1.085,
2012-10,1.011,
2013-01,0.891,
2013-04,0.762,
2013-07,0.790,
2013-10,0.798,
2014-01,0.921,
2014-04,0.945,
2014-07,1.068,
