"",BBFB1.Q.N.DE.1A.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:59,
1991-01,110.915,
1991-04,-739.686,
1991-07,424.361,
1991-10,392.958,
1992-01,534.878,
1992-04,901.875,
1992-07,302.376,
1992-10,1684.568,
1993-01,116.098,
1993-04,-308.672,
1993-07,-313.188,
1993-10,458.195,
1994-01,3202.168,
1994-04,-2449.210,
1994-07,-332.915,
1994-10,135.123,
1995-01,883.026,
1995-04,-763.202,
1995-07,-316.600,
1995-10,-1789.317,
1996-01,71.813,
1996-04,33.377,
1996-07,1284.528,
1996-10,-637.574,
1997-01,3179.094,
1997-04,621.015,
1997-07,-2830.059,
1997-10,-1765.936,
1998-01,-2057.999,
1998-04,-1265.905,
1998-07,-173.240,
1998-10,2643.868,
1999-01,44.047,
1999-04,582.536,
1999-07,764.349,
1999-10,6263.163,
2000-01,-5341.749,
2000-04,2277.632,
2000-07,-2051.947,
2000-10,690.901,
2001-01,2149.297,
2001-04,1001.957,
2001-07,1160.142,
2001-10,-3489.785,
2002-01,-335.920,
2002-04,-3661.950,
2002-07,-1550.190,
2002-10,-2270.378,
2003-01,1024.789,
2003-04,-4877.524,
2003-07,-3739.915,
2003-10,5686.438,
2004-01,-5701.461,
2004-04,-2495.078,
2004-07,-5987.691,
2004-10,-1205.866,
2005-01,-383.661,
2005-04,-1923.684,
2005-07,-2935.420,
2005-10,-4479.774,
2006-01,-2000.252,
2006-04,-2029.819,
2006-07,3411.876,
2006-10,-7690.781,
2007-01,-818.842,
2007-04,-3738.194,
2007-07,-862.166,
2007-10,-5862.058,
2008-01,-3852.608,
2008-04,-2937.880,
2008-07,4097.148,
2008-10,-4069.576,
2009-01,129.562,
2009-04,-4039.606,
2009-07,-54.341,
2009-10,-2181.817,
2010-01,3060.101,
2010-04,-6475.529,
2010-07,-5092.877,
2010-10,4946.360,
2011-01,136.762,
2011-04,2717.924,
2011-07,-5127.794,
2011-10,593.000,
2012-01,4696.601,
2012-04,-2663.601,
2012-07,-2776.100,
2012-10,-7560.192,
2013-01,7635.675,
2013-04,1724.814,
2013-07,410.700,
2013-10,-11650.109,
2014-01,4981.087,Provisional value
2014-04,-1074.780,Provisional value
2014-07,10682.571,Provisional value
2014-10,-3093.521,Provisional value
