"",BBFN1.M.DE.N.1.A.U2.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:34,
1995-01,2.189,
1995-02,2.111,
1995-03,2.233,
1995-04,2.189,
1995-05,2.212,
1995-06,2.118,
1995-07,2.129,
1995-08,2.291,
1995-09,2.296,
1995-10,2.273,
1995-11,2.236,
1995-12,2.116,
1996-01,2.145,
1996-02,2.296,
1996-03,2.221,
1996-04,2.251,
1996-05,2.237,
1996-06,2.203,
1996-07,2.226,
1996-08,2.180,
1996-09,2.164,
1996-10,2.168,
1996-11,2.187,
1996-12,2.052,
1997-01,2.131,
1997-02,2.155,
1997-03,2.519,
1997-04,2.527,
1997-05,2.614,
1997-06,2.587,
1997-07,2.476,
1997-08,2.305,
1997-09,2.233,
1997-10,2.150,
1997-11,2.300,
1997-12,2.367,
1998-01,2.457,
1998-02,2.474,
1998-03,2.749,
1998-04,2.857,
1998-05,2.898,
1998-06,2.941,
1998-07,3.025,
1998-08,3.257,
1998-09,3.250,
1998-10,3.274,
1998-11,3.585,
1998-12,3.629,
1999-01,3.902,
1999-02,3.901,
1999-03,3.732,
1999-04,3.883,
1999-05,3.959,
1999-06,4.089,
1999-07,4.312,
1999-08,4.592,
1999-09,4.750,
1999-10,4.917,
1999-11,4.841,
1999-12,5.011,
2000-01,5.100,
2000-02,5.036,
2000-03,4.907,
2000-04,4.849,
2000-05,4.886,
2000-06,4.999,
2000-07,5.113,
2000-08,5.482,
2000-09,5.437,
2000-10,5.690,
2000-11,6.118,
2000-12,7.028,
2001-01,7.128,
2001-02,7.084,
2001-03,7.267,
2001-04,7.196,
2001-05,7.479,
2001-06,7.703,
2001-07,7.741,
2001-08,8.250,
2001-09,7.780,
2001-10,8.157,
2001-11,8.332,
2001-12,8.339,
2002-01,8.591,
2002-02,8.727,
2002-03,8.920,
2002-04,9.220,
2002-05,9.041,
2002-06,9.069,
2002-07,10.360,
2002-08,10.393,
2002-09,10.309,
2002-10,10.416,
2002-11,11.035,
2002-12,10.640,
2003-01,12.460,
2003-02,12.475,
2003-03,12.288,
2003-04,12.305,
2003-05,12.357,
2003-06,12.157,
2003-07,12.103,
2003-08,12.174,
2003-09,12.185,
2003-10,12.343,
2003-11,12.318,
2003-12,11.742,
2004-01,11.967,
2004-02,10.771,
2004-03,10.798,
2004-04,10.736,
2004-05,10.870,
2004-06,10.778,
2004-07,11.023,
2004-08,11.100,
2004-09,11.724,
2004-10,11.713,
2004-11,11.836,
2004-12,11.483,
2005-01,13.302,
2005-02,13.314,
2005-03,13.912,
2005-04,13.852,
2005-05,12.231,
2005-06,11.946,
2005-07,12.028,
2005-08,12.157,
2005-09,12.291,
2005-10,12.247,
2005-11,11.957,
2005-12,13.432,
2006-01,13.741,
2006-02,13.988,
2006-03,14.224,
2006-04,14.204,
2006-05,14.114,
2006-06,14.234,
2006-07,14.287,
2006-08,14.523,
2006-09,14.898,
2006-10,15.229,
2006-11,15.282,
2006-12,15.607,
2007-01,15.873,
2007-02,14.496,
2007-03,14.836,
2007-04,15.314,
2007-05,18.339,
2007-06,19.063,
2007-07,19.174,
2007-08,19.339,
2007-09,19.430,
2007-10,19.335,
2007-11,18.336,
2007-12,15.799,
2008-01,19.095,
2008-02,19.722,
2008-03,20.641,
2008-04,20.974,
2008-05,20.997,
2008-06,20.264,
2008-07,20.007,
2008-08,20.666,
2008-09,21.730,
2008-10,22.068,
2008-11,23.230,
2008-12,19.806,
2009-01,19.643,
2009-02,19.959,
2009-03,20.008,
2009-04,19.522,
2009-05,19.295,
2009-06,19.666,
2009-07,19.803,
2009-08,19.700,
2009-09,20.377,
2009-10,20.921,
2009-11,22.871,
2009-12,26.563,
2010-01,26.078,
2010-02,24.702,
2010-03,24.763,
2010-04,24.514,
2010-05,25.598,
2010-06,25.608,
2010-07,25.760,
2010-08,26.000,
2010-09,26.181,
2010-10,26.397,
2010-11,26.404,
2010-12,27.357,
2011-01,27.694,
2011-02,27.383,
2011-03,28.002,
2011-04,28.010,
2011-05,27.858,
2011-06,27.699,
2011-07,27.999,
2011-08,28.170,
2011-09,27.799,
2011-10,27.294,
2011-11,26.590,
2011-12,28.732,
2012-01,28.764,
2012-02,28.931,
2012-03,30.276,
2012-04,30.809,
2012-05,30.531,
2012-06,30.753,
2012-07,31.601,
2012-08,32.249,
2012-09,31.117,
2012-10,29.516,
2012-11,32.272,
2012-12,36.704,
2013-01,39.735,
2013-02,39.605,
2013-03,39.888,
2013-04,40.630,
2013-05,43.136,
2013-06,43.559,
2013-07,43.785,
2013-08,44.456,
2013-09,44.939,
2013-10,41.922,
2013-11,46.687,
2013-12,46.116,
2014-01,45.974,
2014-02,45.751,
2014-03,47.484,
2014-04,46.945,
2014-05,46.968,
2014-06,46.390,
2014-07,47.649,
2014-08,48.297,
2014-09,47.846,
2014-10,46.417,
2014-11,46.540,
2014-12,46.488,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
