"",BBK01.OEAH92G,BBK01.OEAH92G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:40,
2002-01,2.844,
2002-04,2.937,
2002-07,3.042,
2002-10,2.987,
2003-01,2.990,
2003-04,3.022,
2003-07,2.995,
2003-10,3.028,
2004-01,3.029,
2004-04,2.895,
2004-07,2.859,
2004-10,3.047,
2005-01,2.981,
2005-04,2.970,
2005-07,2.897,
2005-10,2.792,
2006-01,2.767,
2006-04,2.707,
2006-07,2.679,
2006-10,2.675,
2007-01,2.640,
2007-04,2.660,
2007-07,2.787,
2007-10,2.865,
2008-01,2.622,
2008-04,2.705,
2008-07,2.728,
2008-10,2.714,
2009-01,2.622,
2009-04,2.553,
2009-07,2.420,
2009-10,2.261,
2010-01,2.300,
2010-04,2.299,
2010-07,2.208,
2010-10,2.400,
2011-01,2.453,
2011-04,2.379,
2011-07,2.293,
2011-10,2.260,
2012-01,2.111,
2012-04,2.079,
2012-07,2.049,
2012-10,1.915,
2013-01,1.728,
2013-04,1.638,
2013-07,1.300,
2013-10,1.074,
2014-01,0.982,
2014-04,0.897,
2014-07,0.854,
