"",BBK01.OEAE13T,BBK01.OEAE13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:06,
2002-01,0.088,
2002-04,0.097,
2002-07,0.102,
2002-10,0.128,
2003-01,0.115,
2003-04,0.113,
2003-07,0.103,
2003-10,0.101,
2004-01,0.089,
2004-04,0.095,
2004-07,0.077,
2004-10,0.081,
2005-01,0.079,
2005-04,0.066,
2005-07,0.060,
2005-10,0.054,
2006-01,0.051,
2006-04,0.049,
2006-07,0.051,
2006-10,0.055,
2007-01,0.042,
2007-04,0.042,
2007-07,0.039,
2007-10,0.053,
2008-01,0.050,
2008-04,0.052,
2008-07,0.056,
2008-10,0.033,
2009-01,0.027,
2009-04,0.030,
2009-07,0.023,
2009-10,0.024,
2010-01,0.024,
2010-04,0.022,
2010-07,0.023,
2010-10,0.023,
2011-01,0.025,
2011-04,0.029,
2011-07,0.027,
2011-10,0.030,
2012-01,0.031,
2012-04,0.028,
2012-07,0.025,
2012-10,0.021,
2013-01,0.021,
2013-04,0.022,
2013-07,0.020,
2013-10,0.022,
2014-01,0.024,
2014-04,0.026,
2014-07,0.021,
