"",BBK01.OEAC05R,BBK01.OEAC05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:01,
2002-01,1.116,
2002-04,1.101,
2002-07,1.085,
2002-10,1.072,
2003-01,1.037,
2003-04,1.019,
2003-07,1.010,
2003-10,0.979,
2004-01,0.938,
2004-04,0.937,
2004-07,0.901,
2004-10,0.886,
2005-01,0.870,
2005-04,0.846,
2005-07,0.823,
2005-10,0.820,
2006-01,0.808,
2006-04,0.793,
2006-07,0.765,
2006-10,0.736,
2007-01,0.731,
2007-04,0.728,
2007-07,0.709,
2007-10,0.710,
2008-01,0.695,
2008-04,0.683,
2008-07,0.683,
2008-10,0.686,
2009-01,0.660,
2009-04,0.643,
2009-07,0.629,
2009-10,0.594,
2010-01,0.610,
2010-04,0.594,
2010-07,0.581,
2010-10,0.571,
2011-01,0.571,
2011-04,0.556,
2011-07,0.552,
2011-10,0.560,
2012-01,0.570,
2012-04,0.658,
2012-07,0.647,
2012-10,0.649,
2013-01,0.661,
2013-04,0.643,
2013-07,0.646,
2013-10,0.646,
2014-01,0.653,
2014-04,0.654,
2014-07,0.648,
