"",BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:25,
1991-01,6.282,
1991-04,6.886,
1991-07,6.886,
1991-10,6.758,
1992-01,-17.373,
1992-04,9.864,
1992-07,14.751,
1992-10,10.917,
1993-01,-12.274,
1993-04,-79.725,
1993-07,-11.201,
1993-10,-26.374,
1994-01,2.859,
1994-04,-49.521,
1994-07,-30.779,
1994-10,-23.700,
1995-01,6.835,
1995-04,10.166,
1995-07,9.682,
1995-10,-17.735,
1996-01,-43.444,
1996-04,-59.699,
1996-07,-59.109,
1996-10,-45.745,
1997-01,-12.040,
1997-04,-0.866,
1997-07,-,Nothing exists
1997-10,-0.026,
1998-01,-15.339,
1998-04,-0.636,
1998-07,-5.187,
1998-10,-16.092,
1999-01,-15.206,
1999-04,-9.000,
1999-07,-9.000,
1999-10,-38.085,
2000-01,18.812,
2000-04,20.082,
2000-07,20.907,
2000-10,20.901,
2001-01,13.935,
2001-04,-24.079,
2001-07,35.643,
2001-10,-108.619,
2002-01,86.703,
2002-04,57.519,
2002-07,118.280,
2002-10,32.506,
2003-01,38.431,
2003-04,24.354,
2003-07,47.284,
2003-10,-55.733,
2004-01,115.248,
2004-04,79.313,
2004-07,106.847,
2004-10,116.988,
2005-01,-19.874,
2005-04,-104.414,
2005-07,-26.107,
2005-10,-122.866,
2006-01,124.671,
2006-04,13.710,
2006-07,54.896,
2006-10,128.861,
2007-01,162.875,
2007-04,-85.488,
2007-07,97.494,
2007-10,-16.055,
2008-01,-383.421,
2008-04,106.190,
2008-07,290.436,
2008-10,4.639,
2009-01,-58.487,
2009-04,-52.332,
2009-07,-110.003,
2009-10,-92.717,
2010-01,152.573,
2010-04,159.669,
2010-07,190.997,
2010-10,187.455,
2011-01,222.498,
2011-04,-104.001,
2011-07,145.913,
2011-10,173.684,
2012-01,231.015,
2012-04,145.887,
2012-07,24.911,
2012-10,-259.640,
2013-01,112.863,
2013-04,-200.060,
2013-07,80.472,
2013-10,-3.781,
2014-01,121.079,Provisional value
2014-04,-160.537,Provisional value
2014-07,54.941,Provisional value
2014-10,126.542,Provisional value
