"",BBK01.OEYI10N,BBK01.OEYI10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:35,
2002-01,2.636,
2002-04,2.651,
2002-07,2.629,
2002-10,2.667,
2003-01,2.624,
2003-04,2.664,
2003-07,2.642,
2003-10,2.629,
2004-01,2.602,
2004-04,2.614,
2004-07,2.568,
2004-10,2.565,
2005-01,2.491,
2005-04,2.489,
2005-07,2.462,
2005-10,2.456,
2006-01,2.407,
2006-04,2.400,
2006-07,2.352,
2006-10,2.349,
2007-01,2.313,
2007-04,2.303,
2007-07,2.264,
2007-10,2.273,
2008-01,2.220,
2008-04,2.203,
2008-07,2.184,
2008-10,2.175,
2009-01,2.142,
2009-04,2.134,
2009-07,2.100,
2009-10,2.407,
2010-01,2.058,
2010-04,2.055,
2010-07,2.017,
2010-10,1.999,
2011-01,1.964,
2011-04,1.958,
2011-07,1.932,
2011-10,1.923,
2012-01,1.886,
2012-04,1.878,
2012-07,1.846,
2012-10,2.025,
2013-01,1.990,
2013-04,1.989,
2013-07,1.954,
2013-10,1.951,
2014-01,1.926,
2014-04,1.920,
2014-07,1.897,
