"",BBK01.OEAA02M,BBK01.OEAA02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:38,
2002-01,28.649,
2002-04,29.618,
2002-07,28.602,
2002-10,27.322,
2003-01,28.213,
2003-04,28.550,
2003-07,27.244,
2003-10,25.849,
2004-01,25.390,
2004-04,27.327,
2004-07,26.859,
2004-10,25.381,
2005-01,26.804,
2005-04,26.359,
2005-07,24.376,
2005-10,24.215,
2006-01,24.374,
2006-04,25.172,
2006-07,24.992,
2006-10,24.641,
2007-01,24.301,
2007-04,24.993,
2007-07,25.397,
2007-10,26.199,
2008-01,28.851,
2008-04,28.071,
2008-07,27.589,
2008-10,28.364,
2009-01,29.567,
2009-04,28.037,
2009-07,25.424,
2009-10,24.048,
2010-01,26.333,
2010-04,22.619,
2010-07,22.702,
2010-10,22.761,
2011-01,23.665,
2011-04,25.064,
2011-07,24.432,
2011-10,24.621,
2012-01,24.521,
2012-04,24.159,
2012-07,24.036,
2012-10,23.052,
2013-01,22.819,
2013-04,22.838,
2013-07,22.540,
2013-10,22.124,
2014-01,21.751,
2014-04,22.233,
2014-07,23.044,
