"",BBK01.OEAH04O,BBK01.OEAH04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:48,
2002-01,3.230,
2002-04,5.200,
2002-07,5.624,
2002-10,4.112,
2003-01,6.835,
2003-04,6.579,
2003-07,7.099,
2003-10,8.217,
2004-01,7.990,
2004-04,7.128,
2004-07,7.557,
2004-10,7.676,
2005-01,9.478,
2005-04,9.337,
2005-07,9.813,
2005-10,9.670,
2006-01,9.831,
2006-04,10.266,
2006-07,11.913,
2006-10,12.211,
2007-01,11.798,
2007-04,12.297,
2007-07,12.643,
2007-10,14.505,
2008-01,15.330,
2008-04,15.664,
2008-07,16.141,
2008-10,17.458,
2009-01,15.271,
2009-04,13.623,
2009-07,12.238,
2009-10,10.732,
2010-01,9.393,
2010-04,8.748,
2010-07,8.380,
2010-10,8.534,
2011-01,8.139,
2011-04,8.835,
2011-07,9.306,
2011-10,9.712,
2012-01,8.984,
2012-04,8.385,
2012-07,8.273,
2012-10,8.080,
2013-01,6.505,
2013-04,6.780,
2013-07,6.425,
2013-10,6.964,
2014-01,6.169,
2014-04,5.889,
2014-07,5.872,
