"",BBK01.OEAE30V,BBK01.OEAE30V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:45,
2002-01,0.607,
2002-04,0.615,
2002-07,0.614,
2002-10,0.633,
2003-01,0.629,
2003-04,0.550,
2003-07,0.657,
2003-10,0.642,
2004-01,0.637,
2004-04,0.617,
2004-07,0.542,
2004-10,0.519,
2005-01,0.461,
2005-04,0.486,
2005-07,0.483,
2005-10,0.577,
2006-01,0.544,
2006-04,0.671,
2006-07,0.710,
2006-10,0.576,
2007-01,0.552,
2007-04,0.526,
2007-07,0.545,
2007-10,0.511,
2008-01,0.500,
2008-04,0.242,
2008-07,0.228,
2008-10,0.265,
2009-01,0.306,
2009-04,0.301,
2009-07,0.305,
2009-10,0.327,
2010-01,0.578,
2010-04,0.570,
2010-07,0.606,
2010-10,0.605,
2011-01,0.582,
2011-04,0.589,
2011-07,0.717,
2011-10,0.715,
2012-01,0.711,
2012-04,0.732,
2012-07,0.726,
2012-10,0.678,
2013-01,0.684,
2013-04,0.650,
2013-07,0.663,
2013-10,0.695,
2014-01,0.703,
2014-04,0.706,
2014-07,0.706,
