"",BBK01.CEFJ03,BBK01.CEFJ03_FLAGS
"",Unlisted shares                                       debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:38,
1999-01,12.4,
1999-04,11.9,
1999-07,11.0,
1999-10,9.8,
2000-01,12.0,
2000-04,11.9,
2000-07,11.6,
2000-10,14.5,
2001-01,16.0,
2001-04,15.1,
2001-07,12.6,
2001-10,19.6,
2002-01,15.5,
2002-04,12.7,
2002-07,8.5,
2002-10,5.3,
2003-01,5.2,
2003-04,5.6,
2003-07,5.5,
2003-10,5.0,
2004-01,5.2,
2004-04,4.6,
2004-07,4.2,
2004-10,4.3,
2005-01,4.4,
2005-04,4.4,
2005-07,4.9,
2005-10,5.3,
2006-01,7.7,
2006-04,8.0,
2006-07,7.7,
2006-10,7.0,
2007-01,7.1,
2007-04,6.5,
2007-07,6.1,
2007-10,6.3,
2008-01,59.7,
2008-04,60.1,
2008-07,60.8,
2008-10,58.8,
2009-01,59.1,
2009-04,61.7,
2009-07,62.3,
2009-10,63.0,
2010-01,65.5,
2010-04,68.1,
2010-07,67.3,
2010-10,69.4,
2011-01,69.5,
2011-04,70.6,
2011-07,71.8,
2011-10,73.5,
2012-01,75.0,
2012-04,76.4,
2012-07,77.3,
2012-10,76.5,
2013-01,76.7,
2013-04,76.0,
2013-07,75.5,
2013-10,74.1,
2014-01,72.2,
2014-04,73.3,
2014-07,77.0,
