"",BBK01.OECO03L,BBK01.OECO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:49,
2002-01,-3.663,
2002-04,-8.483,
2002-07,-1.548,
2002-10,-1.639,
2003-01,-2.089,
2003-04,-1.888,
2003-07,-2.002,
2003-10,-2.007,
2004-01,-2.717,
2004-04,-1.813,
2004-07,-1.660,
2004-10,-1.827,
2005-01,0.752,
2005-04,0.647,
2005-07,-2.180,
2005-10,-2.922,
2006-01,-2.742,
2006-04,-2.133,
2006-07,-2.018,
2006-10,-2.193,
2007-01,-2.673,
2007-04,-2.130,
2007-07,-2.309,
2007-10,-2.113,
2008-01,-2.321,
2008-04,-2.107,
2008-07,-2.029,
2008-10,-2.719,
2009-01,-2.269,
2009-04,-1.876,
2009-07,-1.534,
2009-10,-1.224,
2010-01,3.728,
2010-04,4.342,
2010-07,1.816,
2010-10,2.348,
2011-01,1.724,
2011-04,1.903,
2011-07,0.645,
2011-10,0.545,
2012-01,0.687,
2012-04,0.548,
2012-07,0.548,
2012-10,0.484,
2013-01,0.965,
2013-04,0.539,
2013-07,0.508,
2013-10,0.431,
2014-01,0.391,
2014-04,0.336,
2014-07,0.396,
