"",BBK01.OEAM09O,BBK01.OEAM09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:04,
2002-01,0.033,
2002-04,0.029,
2002-07,0.024,
2002-10,0.022,
2003-01,0.025,
2003-04,0.030,
2003-07,0.030,
2003-10,0.026,
2004-01,0.019,
2004-04,0.021,
2004-07,0.027,
2004-10,0.020,
2005-01,0.021,
2005-04,0.013,
2005-07,0.015,
2005-10,0.022,
2006-01,0.024,
2006-04,0.019,
2006-07,0.021,
2006-10,0.018,
2007-01,0.017,
2007-04,0.012,
2007-07,0.008,
2007-10,0.007,
2008-01,0.008,
2008-04,0.018,
2008-07,0.019,
2008-10,0.025,
2009-01,0.027,
2009-04,0.024,
2009-07,0.014,
2009-10,0.013,
2010-01,0.009,
2010-04,0.016,
2010-07,0.030,
2010-10,0.028,
2011-01,0.027,
2011-04,0.022,
2011-07,0.007,
2011-10,0.005,
2012-01,0.011,
2012-04,0.013,
2012-07,0.015,
2012-10,0.017,
2013-01,0.041,
2013-04,0.040,
2013-07,0.041,
2013-10,0.040,
2014-01,0.042,
2014-04,0.036,
2014-07,0.041,
