"",BBDA1.M.DE.N.EX.S.A.PL.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.PL.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Poland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:23,
1990-07,309213,
1990-08,309073,
1990-09,330074,
1990-10,417858,
1990-11,429814,
1990-12,515526,
1991-01,374169,
1991-02,360077,
1991-03,351345,
1991-04,301856,
1991-05,399295,
1991-06,354775,
1991-07,396325,
1991-08,345341,
1991-09,280398,
1991-10,365314,
1991-11,361090,
1991-12,443440,
1992-01,286034,
1992-02,281136,
1992-03,326811,
1992-04,334103,
1992-05,313099,
1992-06,305721,
1992-07,377051,
1992-08,327885,
1992-09,359426,
1992-10,420706,
1992-11,388717,
1992-12,488783,
1993-01,321154,
1993-02,391695,
1993-03,433906,
1993-04,371761,
1993-05,407485,
1993-06,625008,
1993-07,390117,
1993-08,367173,
1993-09,363981,
1993-10,392021,
1993-11,412755,
1993-12,483302,
1994-01,376647,
1994-02,367265,
1994-03,385685,
1994-04,384096,
1994-05,460194,
1994-06,493995,
1994-07,406130,
1994-08,461702,
1994-09,416774,
1994-10,473680,
1994-11,522178,
1994-12,544828,
1995-01,449402,
1995-02,454370,
1995-03,536491,
1995-04,429644,
1995-05,555065,
1995-06,578828,
1995-07,549521,
1995-08,534216,
1995-09,521559,
1995-10,611604,
1995-11,653304,
1995-12,616878,
1996-01,562804,
1996-02,588532,
1996-03,626623,
1996-04,633941,
1996-05,702533,
1996-06,701797,
1996-07,771866,
1996-08,652208,
1996-09,725722,
1996-10,832671,
1996-11,842758,
1996-12,726334,
1997-01,737388,
1997-02,748588,
1997-03,798056,
1997-04,896586,
1997-05,858163,
1997-06,940399,
1997-07,917632,
1997-08,795725,
1997-09,977312,
1997-10,1003052,
1997-11,962705,
1997-12,930877,
1998-01,877976,
1998-02,951284,
1998-03,1140373,
1998-04,951407,
1998-05,1086087,
1998-06,1056255,
1998-07,1080376,
1998-08,994477,
1998-09,1050031,
1998-10,1138751,
1998-11,1068702,
1998-12,944748,
1999-01,845365,
1999-02,935402,
1999-03,1034224,
1999-04,967572,
1999-05,936885,
1999-06,1047572,
1999-07,1093618,
1999-08,896816,
1999-09,1093040,
1999-10,1119444,
1999-11,1210453,
1999-12,1158158,
2000-01,1005568,
2000-02,1064138,
2000-03,1258761,
2000-04,1046371,
2000-05,1288843,
2000-06,1238900,
2000-07,1216358,
2000-08,1218906,
2000-09,1244318,
2000-10,1415376,
2000-11,1298979,
2000-12,1215602,
2001-01,1176007,
2001-02,1144258,
2001-03,1370751,
2001-04,1119262,
2001-05,1321306,
2001-06,1226727,
2001-07,1347306,
2001-08,1297554,
2001-09,1247508,
2001-10,1450709,
2001-11,1342096,
2001-12,1162652,
2002-01,1166032,
2002-02,1308838,
2002-03,1332091,
2002-04,1325018,
2002-05,1312044,
2002-06,1452168,
2002-07,1347509,
2002-08,1308796,
