"",BBK01.OEAA22R,BBK01.OEAA22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:40,
2002-01,0.222,
2002-04,0.215,
2002-07,0.224,
2002-10,0.227,
2003-01,0.282,
2003-04,0.297,
2003-07,0.300,
2003-10,0.284,
2004-01,0.297,
2004-04,0.291,
2004-07,0.241,
2004-10,0.229,
2005-01,0.222,
2005-04,0.223,
2005-07,0.225,
2005-10,0.218,
2006-01,0.190,
2006-04,0.193,
2006-07,0.203,
2006-10,0.206,
2007-01,0.185,
2007-04,0.190,
2007-07,0.194,
2007-10,0.151,
2008-01,1.544,
2008-04,0.161,
2008-07,0.161,
2008-10,0.175,
2009-01,0.233,
2009-04,0.256,
2009-07,0.178,
2009-10,0.210,
2010-01,0.273,
2010-04,0.280,
2010-07,0.292,
2010-10,0.301,
2011-01,0.317,
2011-04,0.339,
2011-07,0.349,
2011-10,0.339,
2012-01,0.331,
2012-04,0.330,
2012-07,0.334,
2012-10,0.302,
2013-01,0.335,
2013-04,0.336,
2013-07,0.350,
2013-10,0.358,
2014-01,0.347,
2014-04,0.341,
2014-07,0.324,
