"",BBFN1.M.DE.N.1.L.AT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:08,
1994-12,4.569,
1995-01,4.383,
1995-02,4.378,
1995-03,4.552,
1995-04,4.513,
1995-05,4.656,
1995-06,4.772,
1995-07,4.604,
1995-08,4.450,
1995-09,4.691,
1995-10,4.621,
1995-11,4.796,
1995-12,4.758,
1996-01,4.535,
1996-02,4.712,
1996-03,4.798,
1996-04,4.794,
1996-05,4.781,
1996-06,4.668,
1996-07,4.588,
1996-08,4.747,
1996-09,4.995,
1996-10,5.015,
1996-11,4.836,
1996-12,4.871,
1997-01,4.752,
1997-02,4.880,
1997-03,4.919,
1997-04,5.039,
1997-05,4.996,
1997-06,5.133,
1997-07,5.215,
1997-08,4.979,
1997-09,5.238,
1997-10,5.320,
1997-11,5.188,
1997-12,5.652,
1998-01,5.268,
1998-02,5.502,
1998-03,5.563,
1998-04,5.460,
1998-05,5.558,
1998-06,5.603,
1998-07,5.595,
1998-08,5.381,
1998-09,5.758,
1998-10,5.943,
1998-11,5.662,
1998-12,5.694,
1999-01,5.629,
1999-02,5.606,
1999-03,5.843,
1999-04,5.595,
1999-05,6.156,
1999-06,6.331,
1999-07,6.124,
1999-08,6.400,
1999-09,6.986,
1999-10,6.935,
1999-11,7.196,
1999-12,7.284,
2000-01,7.851,
2000-02,8.189,
2000-03,8.274,
2000-04,7.983,
2000-05,7.932,
2000-06,8.343,
2000-07,7.439,
2000-08,7.881,
2000-09,8.181,
2000-10,8.258,
2000-11,8.622,
2000-12,8.668,
2001-01,8.762,
2001-02,8.432,
2001-03,8.902,
2001-04,8.587,
2001-05,8.633,
2001-06,7.884,
2001-07,7.736,
2001-08,7.661,
2001-09,9.171,
2001-10,9.539,
2001-11,8.933,
2001-12,8.630,
2002-01,8.745,
2002-02,9.176,
2002-03,8.678,
2002-04,8.774,
2002-05,8.870,
2002-06,8.948,
2002-07,8.834,
2002-08,8.544,
2002-09,9.122,
2002-10,9.415,
2002-11,9.286,
2002-12,8.733,
2003-01,8.617,
2003-02,8.869,
2003-03,8.835,
2003-04,8.795,
2003-05,8.736,
2003-06,8.818,
2003-07,8.026,
2003-08,8.220,
2003-09,8.675,
2003-10,8.570,
2003-11,8.449,
2003-12,8.268,
2004-01,8.203,
2004-02,8.596,
2004-03,8.611,
2004-04,8.427,
2004-05,8.672,
2004-06,8.780,
2004-07,9.157,
2004-08,8.672,
2004-09,9.094,
2004-10,8.746,
2004-11,8.288,
2004-12,8.824,
2005-01,8.302,
2005-02,8.431,
2005-03,8.616,
2005-04,8.935,
2005-05,8.896,
2005-06,9.188,
2005-07,8.406,
2005-08,8.170,
2005-09,9.031,
2005-10,9.228,
2005-11,9.070,
2005-12,9.705,
2006-01,9.787,
2006-02,9.841,
2006-03,9.910,
2006-04,10.460,
2006-05,11.103,
2006-06,11.048,
2006-07,11.440,
2006-08,11.437,
2006-09,11.774,
2006-10,12.016,
2006-11,12.051,
2006-12,12.628,
2007-01,12.617,
2007-02,12.799,
2007-03,13.144,
2007-04,13.648,
2007-05,13.499,
2007-06,13.604,
2007-07,14.521,
2007-08,14.260,
2007-09,14.970,
2007-10,15.551,
2007-11,15.391,
2007-12,13.402,
2008-01,14.131,
2008-02,14.911,
2008-03,15.010,
2008-04,15.585,
2008-05,15.423,
2008-06,15.567,
2008-07,16.075,
2008-08,15.278,
2008-09,15.516,
2008-10,15.230,
2008-11,14.891,
2008-12,15.542,
2009-01,15.509,
2009-02,14.677,
2009-03,14.421,
2009-04,14.925,
2009-05,15.285,
2009-06,17.559,
2009-07,15.397,
2009-08,16.204,
2009-09,15.635,
2009-10,15.648,
2009-11,15.828,
2009-12,15.731,
2010-01,16.259,
2010-02,16.145,
2010-03,15.353,
2010-04,15.954,
2010-05,16.316,
2010-06,16.548,
2010-07,17.527,
2010-08,17.950,
2010-09,18.083,
2010-10,17.880,
2010-11,18.518,
2010-12,17.589,
2011-01,18.617,
2011-02,18.525,
2011-03,18.552,
2011-04,17.618,
2011-05,18.440,
2011-06,17.851,
2011-07,17.501,
2011-08,17.653,
2011-09,18.546,
2011-10,17.870,
2011-11,19.965,
2011-12,18.485,
2012-01,19.720,
2012-02,19.526,
2012-03,20.492,
2012-04,19.990,
2012-05,19.867,
2012-06,19.414,
2012-07,20.813,
2012-08,19.339,
2012-09,19.103,
2012-10,18.529,
2012-11,18.287,
2012-12,19.513,
2013-01,22.893,
2013-02,22.293,
2013-03,21.788,
2013-04,24.138,
2013-05,23.029,
2013-06,23.081,
2013-07,21.995,
2013-08,21.615,
2013-09,22.115,
2013-10,21.553,
2013-11,22.686,
2013-12,21.571,
2014-01,22.718,
2014-02,22.425,
2014-03,21.300,
2014-04,25.296,
2014-05,24.739,
2014-06,28.082,
2014-07,26.412,
2014-08,28.274,
2014-09,29.180,
2014-10,28.713,
2014-11,28.650,
2014-12,25.949,
