"",BBSF2.M.1.T.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Real estate funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:00,
1970-01,221,
1970-02,227,
1970-03,229,
1970-04,231,
1970-05,232,
1970-06,235,
1970-07,237,
1970-08,247,
1970-09,251,
1970-10,253,
1970-11,281,
1970-12,292,
1971-01,309,
1971-02,332,
1971-03,354,
1971-04,366,
1971-05,395,
1971-06,419,
1971-07,449,
1971-08,472,
1971-09,503,
1971-10,524,
1971-11,547,
1971-12,576,
1972-01,614,
1972-02,669,
1972-03,721,
1972-04,789,
1972-05,833,
1972-06,896,
1972-07,961,
1972-08,1015,
1972-09,1062,
1972-10,1110,
1972-11,1156,
1972-12,1188,
1973-01,1229,
1973-02,1261,
1973-03,1295,
1973-04,1301,
1973-05,1315,
1973-06,1306,
1973-07,1310,
1973-08,1307,
1973-09,1312,
1973-10,1316,
1973-11,1333,
1973-12,1318,
1974-01,1325,
1974-02,1331,
1974-03,1348,
1974-04,1340,
1974-05,1353,
1974-06,1340,
1974-07,1350,
1974-08,1343,
1974-09,1348,
1974-10,1344,
1974-11,1338,
1974-12,1316,
1975-01,1325,
1975-02,1337,
1975-03,1344,
1975-04,1339,
1975-05,1345,
1975-06,1344,
1975-07,1359,
1975-08,1368,
1975-09,1380,
1975-10,1394,
1975-11,1403,
1975-12,1407,
1976-01,1423,
1976-02,1440,
1976-03,1458,
1976-04,1458,
1976-05,1477,
1976-06,1499,
1976-07,1505,
1976-08,1514,
1976-09,1525,
1976-10,1535,
1976-11,1543,
1976-12,1554,
1977-01,1574,
1977-02,1584,
1977-03,1601,
1977-04,1603,
1977-05,1619,
1977-06,1634,
1977-07,1647,
1977-08,1685,
1977-09,1703,
1977-10,1717,
1977-11,1730,
1977-12,1750,
1978-01,1798,
1978-02,1832,
1978-03,1860,
1978-04,1873,
1978-05,1908,
1978-06,1928,
1978-07,1953,
1978-08,1971,
1978-09,2002,
1978-10,2027,
1978-11,2050,
1978-12,2057,
1979-01,2074,
1979-02,2098,
1979-03,2125,
1979-04,2139,
1979-05,2150,
1979-06,2161,
1979-07,2180,
1979-08,2194,
1979-09,2209,
1979-10,2218,
1979-11,2230,
1979-12,2230,
1980-01,2235,
1980-02,2255,
1980-03,2266,
1980-04,2258,
1980-05,2271,
1980-06,2291,
1980-07,2327,
1980-08,2358,
1980-09,2384,
1980-10,2406,
1980-11,2428,
1980-12,2428,
1981-01,2444,
1981-02,2456,
1981-03,2472,
1981-04,2474,
1981-05,2467,
1981-06,2474,
1981-07,2476,
1981-08,2478,
1981-09,2514,
1981-10,2526,
1981-11,2542,
1981-12,2546,
1982-01,2546,
1982-02,2575,
1982-03,2603,
1982-04,2612,
1982-05,2631,
1982-06,2643,
1982-07,2668,
1982-08,2693,
1982-09,2743,
1982-10,2770,
1982-11,2813,
1982-12,2863,
1983-01,2963,
1983-02,3069,
1983-03,3196,
1983-04,3306,
1983-05,3392,
1983-06,3433,
1983-07,3498,
1983-08,3549,
1983-09,3598,
1983-10,3650,
1983-11,3703,
1983-12,3781,
1984-01,3823,
1984-02,3895,
1984-03,3945,
1984-04,3989,
1984-05,4023,
1984-06,4041,
1984-07,4090,
1984-08,4132,
1984-09,4184,
1984-10,4232,
1984-11,4270,
1984-12,4322,
1985-01,4365,
1985-02,4406,
1985-03,4433,
1985-04,4555,
1985-05,4615,
1985-06,4640,
1985-07,4690,
1985-08,4740,
1985-09,4778,
1985-10,4810,
1985-11,4851,
1985-12,4915,
1986-01,4943,
1986-02,5008,
1986-03,5096,
1986-04,5188,
1986-05,5240,
1986-06,5283,
1986-07,5358,
1986-08,5443,
1986-09,5510,
1986-10,5605,
1986-11,5692,
1986-12,5763,
1987-01,5923,
1987-02,6110,
1987-03,6313,
1987-04,6504,
1987-05,6646,
1987-06,6782,
1987-07,6948,
1987-08,7074,
1987-09,7200,
1987-10,7249,
1987-11,7370,
1987-12,7474,
1988-01,7704,
1988-02,7921,
1988-03,8138,
1988-04,8284,
1988-05,8400,
1988-06,8477,
1988-07,8544,
1988-08,8611,
1988-09,8672,
1988-10,8683,
1988-11,8742,
1988-12,8613,
1989-01,8654,
1989-02,8658,
1989-03,8645,
1989-04,8680,
1989-05,8804,
1989-06,8906,
1989-07,8981,
1989-08,9103,
1989-09,9198,
1989-10,9237,
1989-11,9310,
1989-12,9325,
1990-01,9353,
1990-02,9404,
1990-03,9449,
1990-04,9471,
1990-05,9480,
1990-06,9447,
1990-07,9460,
1990-08,9479,
1990-09,9594,
1990-10,9601,
1990-11,9651,
1990-12,9655,
1991-01,9744,
1991-02,9905,
1991-03,10059,
1991-04,10141,
1991-05,10261,
1991-06,10312,
1991-07,10474,
1991-08,10640,
1991-09,10840,
1991-10,10958,
1991-11,11125,
1991-12,11335,
1992-01,11810,
1992-02,12279,
1992-03,12671,
1992-04,12958,
1992-05,13213,
1992-06,13390,
1992-07,13662,
1992-08,13838,
1992-09,14145,
1992-10,14428,
1992-11,14730,
1992-12,15189,
1993-01,16353,
1993-02,17284,
1993-03,18092,
1993-04,18856,
1993-05,19359,
1993-06,19759,
1993-07,20539,
1993-08,21199,
1993-09,21891,
1993-10,22468,
1993-11,23278,
1993-12,24070,
1994-01,25322,
1994-02,25856,
1994-03,26160,
1994-04,26619,
1994-05,26876,
1994-06,26933,
1994-07,27293,
1994-08,27473,
1994-09,27715,
1994-10,27901,
1994-11,28074,
1994-12,28337,
1995-01,28584,
1995-02,28867,
1995-03,29140,
1995-04,29354,
1995-05,29687,
1995-06,29843,
1995-07,30400,
1995-08,30915,
1995-09,31323,
1995-10,31759,
1995-11,32214,
1995-12,32581,
1996-01,34482,
1996-02,35544,
1996-03,36192,
1996-04,36799,
1996-05,37300,
1996-06,37533,
1996-07,38090,
1996-08,38589,
1996-09,39062,
1996-10,39500,
1996-11,39936,
1996-12,40094,
1997-01,41000,
1997-02,41825,
1997-03,42186,
1997-04,42562,
1997-05,42813,
1997-06,42990,
1997-07,43311,
1997-08,43357,
1997-09,43397,
1997-10,43389,
1997-11,43548,
1997-12,43732,
1998-01,44199,
1998-02,44665,
1998-03,44847,
1998-04,44825,
1998-05,44892,
1998-06,44874,
1998-07,45155,
1998-08,45430,
1998-09,45634,
1998-10,45959,
1998-11,46438,
1998-12,47034,
1999-01,48186,
1999-02,49250,
1999-03,50036,
1999-04,50859,
1999-05,51758,
1999-06,52147,
1999-07,53143,
1999-08,53695,
1999-09,54516,
1999-10,55336,
1999-11,55624,
1999-12,55981,
2000-01,55218,
2000-02,54738,
2000-03,54566,
2000-04,54612,
2000-05,54518,
2000-06,54144,
2000-07,54243,
2000-08,54316,
2000-09,54487,
2000-10,54739,
2000-11,55055,
2000-12,55318,
2001-01,55237,
2001-02,57990,
2001-03,58370,
2001-04,59069,
2001-05,59916,
2001-06,60427,
2001-07,61422,
2001-08,62519,
2001-09,63731,
2001-10,65108,
2001-11,66844,
2001-12,68026,
2002-01,70624,
2002-02,72820,
2002-03,74789,
2002-04,76102,
2002-05,77358,
2002-06,78323,
2002-07,80183,
2002-08,81771,
2002-09,83214,
2002-10,84475,
2002-11,85454,
2002-12,86239,
2003-01,88546,
2003-02,90890,
2003-03,92827,
2003-04,94906,
2003-05,96577,
2003-06,98351,
2003-07,99851,
2003-08,100762,
2003-09,101371,
2003-10,102045,
2003-11,101953,
2003-12,101188,
2004-01,101348,
2004-02,101942,
2004-03,103065,
2004-04,103597,
2004-05,103461,
2004-06,103713,
2004-07,104707,
2004-08,104851,
2004-09,105293,
2004-10,105790,
2004-11,105666,
2004-12,105157,
2005-01,105152,
2005-02,104445,
2005-03,104529,
2005-04,105092,
2005-05,105573,
2005-06,105400,
2005-07,105899,
2005-08,106128,
2005-09,106435,
2005-10,106665,
2005-11,106730,
2005-12,103524,
2006-01,98174,
2006-02,96426,
2006-03,94626,
2006-04,94245,
2006-05,95527,
2006-06,95624,
2006-07,95772,
2006-08,95918,
2006-09,96001,
2006-10,96447,
2006-11,97274,
2006-12,97547,
2007-01,98335,
2007-02,99412,
2007-03,100168,
2007-04,100800,
2007-05,102322,
2007-06,102872,
2007-07,104713,
2007-08,105168,
2007-09,105718,
2007-10,104809,
2007-11,105669,
2007-12,105984,
2008-01,106940,
2008-02,108589,
2008-03,108843,
2008-04,109640,
2008-05,110162,
2008-06,109999,
2008-07,111252,
2008-08,112387,
2008-09,112624,
2008-10,108111,
2008-11,108269,
2008-12,108570,
2009-01,109044,
2009-02,109820,
2009-03,110361,
2009-04,111068,
2009-05,112420,
2009-06,112746,
2009-07,112153,
2009-08,112975,
2009-09,113193,
2009-10,114124,
2009-11,114680,
2009-12,115209,
2010-01,116879,
2010-02,118046,
2010-03,118694,
2010-04,118744,
2010-05,117724,
2010-06,116994,
2010-07,117128,
2010-08,117401,
2010-09,116817,
2010-10,117057,
2010-11,116893,
2010-12,116240,
2011-01,116294,
2011-02,116728,
2011-03,116584,
2011-04,116752,
2011-05,117166,
2011-06,116771,
2011-07,116915,
2011-08,117051,
2011-09,117494,
2011-10,118212,
2011-11,118625,
2011-12,118828,
2012-01,119248,
2012-02,119866,
2012-03,120429,
2012-04,119914,
2012-05,120115,
2012-06,119320,
2012-07,119642,
2012-08,120336,
2012-09,120605,
2012-10,121451,
2012-11,121647,
2012-12,121273,
2013-01,122282,
2013-02,123032,
2013-03,123955,
2013-04,124482,
2013-05,124771,
2013-06,124850,
2013-07,125623,
2013-08,125859,
2013-09,125759,
2013-10,125430,
2013-11,126801,
2013-12,126685,
2014-01,127026,
2014-02,127795,
2014-03,128805,
2014-04,128846,
2014-05,129290,
2014-06,129532,
2014-07,129697,
2014-08,130225,
2014-09,130708,
2014-10,129988,
2014-11,131531,
