"",BBFN1.M.DE.N.1.L.MY.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MY.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:17,
1994-07,0.088,
1994-08,0.107,
1994-09,0.115,
1994-10,0.117,
1994-11,0.120,
1994-12,0.123,
1995-01,0.140,
1995-02,0.085,
1995-03,0.122,
1995-04,0.109,
1995-05,0.125,
1995-06,0.142,
1995-07,0.130,
1995-08,0.136,
1995-09,0.119,
1995-10,0.110,
1995-11,0.097,
1995-12,0.134,
1996-01,0.137,
1996-02,0.125,
1996-03,0.110,
1996-04,0.092,
1996-05,0.100,
1996-06,0.128,
1996-07,0.114,
1996-08,0.113,
1996-09,0.120,
1996-10,0.131,
1996-11,0.126,
1996-12,0.123,
1997-01,0.133,
1997-02,0.108,
1997-03,0.115,
1997-04,0.133,
1997-05,0.122,
1997-06,0.146,
1997-07,0.138,
1997-08,0.146,
1997-09,0.221,
1997-10,0.141,
1997-11,0.176,
1997-12,0.176,
1998-01,0.318,
1998-02,0.157,
1998-03,0.164,
1998-04,0.154,
1998-05,0.168,
1998-06,0.158,
1998-07,0.177,
1998-08,0.180,
1998-09,0.148,
1998-10,0.171,
1998-11,0.168,
1998-12,0.150,
1999-01,0.133,
1999-02,0.158,
1999-03,0.160,
1999-04,0.165,
1999-05,0.137,
1999-06,0.146,
1999-07,0.137,
1999-08,0.161,
1999-09,0.157,
1999-10,0.103,
1999-11,0.140,
1999-12,0.155,
2000-01,0.134,
2000-02,0.159,
2000-03,0.169,
2000-04,0.167,
2000-05,0.180,
2000-06,0.194,
2000-07,0.215,
2000-08,0.222,
2000-09,0.231,
2000-10,0.210,
2000-11,0.221,
2000-12,0.241,
2001-01,0.224,
2001-02,0.212,
2001-03,0.216,
2001-04,0.207,
2001-05,0.193,
2001-06,0.235,
2001-07,0.204,
2001-08,0.204,
2001-09,0.229,
2001-10,0.221,
2001-11,0.234,
2001-12,0.279,
2002-01,0.240,
2002-02,0.202,
2002-03,0.225,
2002-04,0.201,
2002-05,0.222,
2002-06,0.238,
2002-07,0.217,
2002-08,0.293,
2002-09,0.304,
2002-10,0.291,
2002-11,0.272,
2002-12,0.360,
2003-01,0.276,
2003-02,0.282,
2003-03,0.305,
2003-04,0.236,
2003-05,0.245,
2003-06,0.245,
2003-07,0.212,
2003-08,0.212,
2003-09,0.243,
2003-10,0.192,
2003-11,0.210,
2003-12,0.255,
2004-01,0.201,
2004-02,0.182,
2004-03,0.228,
2004-04,0.182,
2004-05,0.191,
2004-06,0.211,
2004-07,0.213,
2004-08,0.222,
2004-09,0.223,
2004-10,0.209,
2004-11,0.193,
2004-12,0.229,
2005-01,0.205,
2005-02,0.207,
2005-03,0.256,
2005-04,0.206,
2005-05,0.218,
2005-06,0.263,
2005-07,0.233,
2005-08,0.232,
2005-09,0.258,
2005-10,0.258,
2005-11,0.234,
2005-12,0.290,
2006-01,0.247,
2006-02,0.308,
2006-03,0.294,
2006-04,0.263,
2006-05,0.286,
2006-06,0.288,
2006-07,0.244,
2006-08,0.238,
2006-09,0.284,
2006-10,0.243,
2006-11,0.234,
2006-12,0.288,
2007-01,0.274,
2007-02,0.291,
2007-03,0.348,
2007-04,0.314,
2007-05,0.325,
2007-06,0.348,
2007-07,0.310,
2007-08,0.399,
2007-09,0.361,
2007-10,0.283,
2007-11,0.340,
2007-12,0.417,
2008-01,0.338,
2008-02,0.336,
2008-03,0.389,
2008-04,0.330,
2008-05,0.315,
2008-06,0.390,
2008-07,0.306,
2008-08,0.333,
2008-09,0.390,
2008-10,0.302,
2008-11,0.336,
2008-12,0.411,
2009-01,0.420,
2009-02,0.404,
2009-03,0.433,
2009-04,0.408,
2009-05,0.432,
2009-06,0.444,
2009-07,0.426,
2009-08,0.428,
2009-09,0.427,
2009-10,0.449,
2009-11,0.462,
2009-12,0.498,
2010-01,0.461,
2010-02,0.465,
2010-03,0.458,
2010-04,0.507,
2010-05,0.513,
2010-06,0.571,
2010-07,0.557,
2010-08,0.554,
2010-09,0.569,
2010-10,0.550,
2010-11,0.504,
2010-12,0.554,
2011-01,0.524,
2011-02,0.516,
2011-03,0.542,
2011-04,0.529,
2011-05,0.509,
2011-06,0.519,
2011-07,0.515,
2011-08,0.526,
2011-09,0.532,
2011-10,0.477,
2011-11,0.456,
2011-12,0.504,
2012-01,0.501,
2012-02,0.508,
2012-03,0.521,
2012-04,0.503,
2012-05,0.504,
2012-06,0.503,
2012-07,0.490,
2012-08,0.481,
2012-09,0.509,
2012-10,0.468,
2012-11,0.466,
2012-12,0.491,
2013-01,0.464,
2013-02,0.445,
2013-03,0.500,
2013-04,0.501,
2013-05,0.481,
2013-06,0.486,
2013-07,0.495,
2013-08,0.478,
2013-09,0.474,
2013-10,0.485,
2013-11,0.467,
2013-12,0.481,
2014-01,0.471,
2014-02,0.466,
2014-03,0.490,
2014-04,0.478,
2014-05,0.499,
2014-06,0.504,
2014-07,0.464,
2014-08,0.476,
2014-09,0.532,
2014-10,0.512,
2014-11,0.496,
2014-12,0.548,
