"",BBK01.OEAH76M,BBK01.OEAH76M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:03,
2002-01,0.013,
2002-04,0.029,
2002-07,0.034,
2002-10,0.035,
2003-01,0.026,
2003-04,0.010,
2003-07,0.010,
2003-10,0.005,
2004-01,0.007,
2004-04,0.008,
2004-07,0.007,
2004-10,0.013,
2005-01,0.012,
2005-04,0.012,
2005-07,0.009,
2005-10,0.004,
2006-01,0.005,
2006-04,0.007,
2006-07,0.007,
2006-10,0.008,
2007-01,0.007,
2007-04,0.002,
2007-07,0.002,
2007-10,0.003,
2008-01,0.003,
2008-04,0.007,
2008-07,0.006,
2008-10,0.016,
2009-01,0.056,
2009-04,0.110,
2009-07,0.159,
2009-10,0.157,
2010-01,0.150,
2010-04,0.090,
2010-07,0.057,
2010-10,0.048,
2011-01,0.045,
2011-04,0.038,
2011-07,0.260,
2011-10,0.271,
2012-01,0.275,
2012-04,0.308,
2012-07,0.092,
2012-10,0.095,
2013-01,0.131,
2013-04,0.162,
2013-07,0.174,
2013-10,0.175,
2014-01,0.150,
2014-04,0.104,
2014-07,0.101,
