"",BBFN1.M.DE.N.1.L.B0.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from advance payments received / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:26,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,1.551,
1995-02,1.506,
1995-03,1.462,
1995-04,1.443,
1995-05,1.451,
1995-06,1.524,
1995-07,1.500,
1995-08,1.556,
1995-09,1.363,
1995-10,1.398,
1995-11,1.304,
1995-12,1.167,
1996-01,1.133,
1996-02,1.172,
1996-03,1.191,
1996-04,1.178,
1996-05,1.195,
1996-06,1.258,
1996-07,1.272,
1996-08,1.290,
1996-09,1.074,
1996-10,1.091,
1996-11,1.360,
1996-12,1.271,
1997-01,1.266,
1997-02,1.260,
1997-03,1.243,
1997-04,1.265,
1997-05,1.270,
1997-06,1.337,
1997-07,1.340,
1997-08,1.378,
1997-09,1.278,
1997-10,1.126,
1997-11,1.078,
1997-12,1.139,
1998-01,1.264,
1998-02,1.302,
1998-03,1.133,
1998-04,1.137,
1998-05,1.118,
1998-06,1.259,
1998-07,1.287,
1998-08,1.296,
1998-09,1.123,
1998-10,1.183,
1998-11,1.133,
1998-12,1.104,
1999-01,1.164,
1999-02,1.140,
1999-03,1.159,
1999-04,1.164,
1999-05,1.095,
1999-06,1.282,
1999-07,1.234,
1999-08,1.234,
1999-09,1.160,
1999-10,1.270,
1999-11,1.280,
1999-12,1.212,
2000-01,1.183,
2000-02,1.224,
2000-03,1.330,
2000-04,1.147,
2000-05,1.080,
2000-06,1.276,
2000-07,1.312,
2000-08,1.562,
2000-09,1.525,
2000-10,1.618,
2000-11,1.667,
2000-12,1.696,
2001-01,1.712,
2001-02,1.714,
2001-03,1.701,
2001-04,1.790,
2001-05,1.806,
2001-06,1.853,
2001-07,1.760,
2001-08,1.973,
2001-09,1.896,
2001-10,1.892,
2001-11,1.871,
2001-12,1.885,
2002-01,1.905,
2002-02,1.918,
2002-03,2.004,
2002-04,1.887,
2002-05,2.045,
2002-06,2.124,
2002-07,2.137,
2002-08,2.155,
2002-09,2.119,
2002-10,2.390,
2002-11,2.148,
2002-12,2.200,
2003-01,2.173,
2003-02,2.248,
2003-03,2.254,
2003-04,2.867,
2003-05,2.433,
2003-06,2.442,
2003-07,2.783,
2003-08,2.844,
2003-09,2.916,
2003-10,3.111,
2003-11,3.156,
2003-12,2.975,
2004-01,3.059,
2004-02,3.004,
2004-03,4.270,
2004-04,4.311,
2004-05,4.590,
2004-06,4.337,
2004-07,4.466,
2004-08,3.690,
2004-09,3.677,
2004-10,3.823,
2004-11,3.889,
2004-12,3.675,
2005-01,3.730,
2005-02,3.777,
2005-03,3.589,
2005-04,3.597,
2005-05,3.603,
2005-06,3.531,
2005-07,3.506,
2005-08,3.582,
2005-09,3.474,
2005-10,3.504,
2005-11,3.439,
2005-12,3.339,
2006-01,3.444,
2006-02,3.547,
2006-03,3.710,
2006-04,3.777,
2006-05,3.780,
2006-06,3.725,
2006-07,4.034,
2006-08,4.311,
2006-09,4.233,
2006-10,4.216,
2006-11,4.215,
2006-12,4.241,
2007-01,4.231,
2007-02,4.299,
2007-03,4.322,
2007-04,4.443,
2007-05,4.538,
2007-06,4.614,
2007-07,4.775,
2007-08,4.854,
2007-09,4.597,
2007-10,4.657,
2007-11,4.593,
2007-12,4.698,
2008-01,4.820,
2008-02,4.872,
2008-03,4.894,
2008-04,4.935,
2008-05,4.985,
2008-06,5.099,
2008-07,5.107,
2008-08,5.214,
2008-09,5.210,
2008-10,5.252,
2008-11,5.363,
2008-12,5.203,
2009-01,5.406,
2009-02,5.329,
2009-03,5.239,
2009-04,5.247,
2009-05,5.287,
2009-06,5.219,
2009-07,5.391,
2009-08,5.429,
2009-09,5.201,
2009-10,5.170,
2009-11,5.451,
2009-12,5.567,
2010-01,5.710,
2010-02,5.704,
2010-03,5.626,
2010-04,5.686,
2010-05,5.813,
2010-06,5.839,
2010-07,5.792,
2010-08,5.772,
2010-09,5.786,
2010-10,5.871,
2010-11,5.894,
2010-12,6.206,
2011-01,7.092,
2011-02,7.185,
2011-03,7.495,
2011-04,7.515,
2011-05,7.474,
2011-06,7.248,
2011-07,7.473,
2011-08,7.480,
2011-09,7.569,
2011-10,7.518,
2011-11,7.548,
2011-12,7.470,
2012-01,7.638,
2012-02,7.557,
2012-03,7.387,
2012-04,7.325,
2012-05,7.323,
2012-06,7.273,
2012-07,7.320,
2012-08,7.209,
2012-09,7.394,
2012-10,7.089,
2012-11,7.130,
2012-12,7.218,
2013-01,7.278,
2013-02,7.155,
2013-03,7.010,
2013-04,7.104,
2013-05,6.665,
2013-06,6.343,
2013-07,6.560,
2013-08,6.240,
2013-09,6.138,
2013-10,6.630,
2013-11,6.362,
2013-12,6.228,
2014-01,6.288,
2014-02,6.357,
2014-03,6.080,
2014-04,6.174,
2014-05,6.121,
2014-06,5.955,
2014-07,5.952,
2014-08,5.780,
2014-09,5.845,
2014-10,5.658,
2014-11,5.810,
2014-12,6.012,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
