"",BBFB1.Q.N.DE.I7.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:45,
1991-01,5514.301,
1991-04,5636.941,
1991-07,5888.964,
1991-10,5838.253,
1992-01,5802.754,
1992-04,6052.493,
1992-07,6045.076,
1992-10,6152.636,
1993-01,6628.212,
1993-04,6419.680,
1993-07,6278.316,
1993-10,5906.806,
1994-01,6347.349,
1994-04,5957.710,
1994-07,6136.235,
1994-10,5893.865,
1995-01,5823.267,
1995-04,5803.488,
1995-07,5211.077,
1995-10,5402.451,
1996-01,6320.605,
1996-04,6209.580,
1996-07,6449.736,
1996-10,6512.853,
1997-01,7007.697,
1997-04,7178.586,
1997-07,7072.633,
1997-10,8421.711,
1998-01,7387.089,
1998-04,8090.195,
1998-07,7968.104,
1998-10,9418.614,
1999-01,9023.500,
1999-04,10391.456,
1999-07,9950.261,
1999-10,11256.860,
2000-01,11634.520,
2000-04,13647.106,
2000-07,12688.019,
2000-10,17890.867,
2001-01,12921.296,
2001-04,13886.280,
2001-07,12317.807,
2001-10,11745.803,
2002-01,12239.377,
2002-04,13107.196,
2002-07,12574.151,
2002-10,12386.632,
2003-01,12408.513,
2003-04,13136.282,
2003-07,12649.355,
2003-10,13061.634,
2004-01,15267.041,
2004-04,17406.200,
2004-07,16567.801,
2004-10,17306.892,
2005-01,17440.664,
2005-04,18953.232,
2005-07,18065.632,
2005-10,19315.025,
2006-01,22187.818,
2006-04,25238.047,
2006-07,23857.952,
2006-10,25809.375,
2007-01,30053.748,
2007-04,32726.020,
2007-07,29940.073,
2007-10,30121.987,
2008-01,28407.265,
2008-04,28329.170,
2008-07,24740.736,
2008-10,23774.445,
2009-01,25502.973,
2009-04,26403.379,
2009-07,24862.716,
2009-10,25830.130,
2010-01,24021.691,
2010-04,26162.985,
2010-07,24856.450,
2010-10,26688.914,
2011-01,27846.755,
2011-04,30576.381,
2011-07,28625.081,
2011-10,29404.193,
2012-01,27925.171,
2012-04,28969.470,
2012-07,27718.771,
2012-10,28301.288,
2013-01,28243.226,
2013-04,29236.531,
2013-07,27383.557,
2013-10,29015.551,
2014-01,26587.261,Provisional value
2014-04,28551.634,Provisional value
2014-07,26869.134,Provisional value
