"",BBK01.OEAC23M,BBK01.OEAC23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:09,
2002-01,0.373,
2002-04,0.390,
2002-07,0.436,
2002-10,0.300,
2003-01,0.455,
2003-04,0.418,
2003-07,0.522,
2003-10,0.421,
2004-01,0.496,
2004-04,0.975,
2004-07,1.267,
2004-10,0.875,
2005-01,1.614,
2005-04,2.100,
2005-07,0.174,
2005-10,0.299,
2006-01,0.272,
2006-04,0.615,
2006-07,0.509,
2006-10,0.761,
2007-01,0.437,
2007-04,0.795,
2007-07,1.576,
2007-10,1.212,
2008-01,1.310,
2008-04,1.203,
2008-07,0.850,
2008-10,1.151,
2009-01,2.059,
2009-04,1.827,
2009-07,1.628,
2009-10,1.885,
2010-01,1.817,
2010-04,1.244,
2010-07,1.060,
2010-10,2.186,
2011-01,1.521,
2011-04,2.968,
2011-07,1.618,
2011-10,2.499,
2012-01,1.151,
2012-04,0.974,
2012-07,1.116,
2012-10,0.830,
2013-01,1.387,
2013-04,1.411,
2013-07,1.417,
2013-10,1.191,
2014-01,0.872,
2014-04,0.875,
2014-07,1.971,
