"",BBK01.OEBO02I,BBK01.OEBO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:02,
2002-01,0.907,
2002-04,0.840,
2002-07,0.719,
2002-10,0.741,
2003-01,0.737,
2003-04,0.666,
2003-07,0.720,
2003-10,0.567,
2004-01,0.732,
2004-04,0.540,
2004-07,0.719,
2004-10,0.556,
2005-01,0.936,
2005-04,0.840,
2005-07,0.925,
2005-10,0.819,
2006-01,1.037,
2006-04,1.023,
2006-07,0.917,
2006-10,1.080,
2007-01,1.925,
2007-04,1.210,
2007-07,1.266,
2007-10,1.510,
2008-01,1.569,
2008-04,1.583,
2008-07,1.329,
2008-10,2.196,
2009-01,1.620,
2009-04,1.414,
2009-07,1.689,
2009-10,1.486,
2010-01,1.339,
2010-04,0.976,
2010-07,1.561,
2010-10,1.248,
2011-01,1.466,
2011-04,1.107,
2011-07,1.085,
2011-10,1.018,
2012-01,1.427,
2012-04,0.838,
2012-07,2.008,
2012-10,0.853,
2013-01,1.026,
2013-04,0.755,
2013-07,0.679,
2013-10,0.637,
2014-01,0.596,
2014-04,0.557,
2014-07,0.959,
