"",BBK01.OEXB12V,BBK01.OEXB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:34,
2002-01,2.871,
2002-04,2.948,
2002-07,3.073,
2002-10,2.994,
2003-01,3.035,
2003-04,3.061,
2003-07,3.073,
2003-10,3.095,
2004-01,3.125,
2004-04,3.054,
2004-07,3.055,
2004-10,3.107,
2005-01,3.057,
2005-04,3.052,
2005-07,3.057,
2005-10,3.071,
2006-01,3.083,
2006-04,3.102,
2006-07,3.058,
2006-10,3.073,
2007-01,3.061,
2007-04,3.081,
2007-07,3.089,
2007-10,3.418,
2008-01,3.423,
2008-04,3.425,
2008-07,3.482,
2008-10,3.512,
2009-01,3.548,
2009-04,3.542,
2009-07,3.558,
2009-10,3.614,
2010-01,3.607,
2010-04,3.590,
2010-07,3.780,
2010-10,3.947,
2011-01,3.998,
2011-04,4.029,
2011-07,4.114,
2011-10,4.208,
2012-01,4.278,
2012-04,4.428,
2012-07,4.509,
2012-10,4.598,
2013-01,4.653,
2013-04,4.615,
2013-07,4.576,
2013-10,4.570,
2014-01,4.727,
2014-04,5.036,
2014-07,5.188,
