"",BBFB1.Q.N.DE.B5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:24,
1991-01,7937.145,
1991-04,9379.535,
1991-07,8927.119,
1991-10,9353.140,
1992-01,9444.852,
1992-04,10195.318,
1992-07,10237.271,
1992-10,10589.544,
1993-01,11094.944,
1993-04,11407.387,
1993-07,10893.517,
1993-10,11003.842,
1994-01,10892.689,
1994-04,11177.050,
1994-07,11098.485,
1994-10,11708.612,
1995-01,11718.225,
1995-04,12650.234,
1995-07,12272.429,
1995-10,12911.006,
1996-01,11619.794,
1996-04,12496.374,
1996-07,15017.194,
1996-10,12986.947,
1997-01,13948.152,
1997-04,15445.989,
1997-07,14622.553,
1997-10,16070.339,
1998-01,14913.305,
1998-04,17305.960,
1998-07,16695.912,
1998-10,17260.071,
1999-01,17316.376,
1999-04,20584.417,
1999-07,19822.035,
1999-10,22296.108,
2000-01,19890.089,
2000-04,24441.995,
2000-07,25238.681,
2000-10,25671.904,
2001-01,22479.707,
2001-04,23874.951,
2001-07,21739.540,
2001-10,21746.680,
2002-01,24282.513,
2002-04,27240.037,
2002-07,25692.426,
2002-10,25243.550,
2003-01,23619.849,
2003-04,27513.754,
2003-07,24792.519,
2003-10,24753.571,
2004-01,25388.518,
2004-04,28711.563,
2004-07,25560.410,
2004-10,26137.437,
2005-01,26583.284,
2005-04,31349.250,
2005-07,28341.308,
2005-10,28523.078,
2006-01,28381.264,
2006-04,35476.197,
2006-07,30608.153,
2006-10,32346.814,
2007-01,37259.117,
2007-04,48974.535,
2007-07,38278.262,
2007-10,36483.089,
2008-01,30642.615,
2008-04,43566.468,
2008-07,32548.635,
2008-10,27728.815,
2009-01,23556.565,
2009-04,30136.626,
2009-07,20495.911,
2009-10,20520.719,
2010-01,24665.530,
2010-04,34862.329,
2010-07,27683.794,
2010-10,28284.679,
2011-01,25774.418,
2011-04,36052.464,
2011-07,25622.900,
2011-10,25259.036,
2012-01,24652.689,
2012-04,32302.931,
2012-07,24312.839,
2012-10,24060.883,
2013-01,23680.319,
2013-04,29425.101,
2013-07,24822.066,
2013-10,23099.321,
2014-01,22610.928,Provisional value
2014-04,32371.974,Provisional value
2014-07,23259.082,Provisional value
