"",BBK01.OEAG03G,BBK01.OEAG03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:12,
2002-01,25.446,
2002-04,23.863,
2002-07,24.027,
2002-10,23.298,
2003-01,22.645,
2003-04,22.300,
2003-07,23.206,
2003-10,24.153,
2004-01,23.053,
2004-04,20.502,
2004-07,19.324,
2004-10,20.720,
2005-01,15.577,
2005-04,12.920,
2005-07,13.378,
2005-10,13.781,
2006-01,13.971,
2006-04,14.922,
2006-07,15.357,
2006-10,15.989,
2007-01,15.480,
2007-04,15.105,
2007-07,15.597,
2007-10,15.775,
2008-01,14.745,
2008-04,15.686,
2008-07,16.513,
2008-10,15.813,
2009-01,16.496,
2009-04,14.744,
2009-07,15.626,
2009-10,17.914,
2010-01,18.221,
2010-04,18.403,
2010-07,21.629,
2010-10,22.104,
2011-01,20.324,
2011-04,20.341,
2011-07,19.636,
2011-10,18.598,
2012-01,19.082,
2012-04,19.945,
2012-07,19.416,
2012-10,19.055,
2013-01,18.551,
2013-04,18.266,
2013-07,19.019,
2013-10,19.708,
2014-01,19.986,
2014-04,19.717,
2014-07,20.059,
