"",BBK01.OEAF02Q,BBK01.OEAF02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:22,
2002-01,32.992,
2002-04,32.975,
2002-07,31.865,
2002-10,31.909,
2003-01,31.723,
2003-04,36.522,
2003-07,36.436,
2003-10,36.136,
2004-01,35.467,
2004-04,32.738,
2004-07,32.451,
2004-10,32.314,
2005-01,32.769,
2005-04,32.655,
2005-07,32.668,
2005-10,32.656,
2006-01,32.691,
2006-04,35.386,
2006-07,32.429,
2006-10,32.382,
2007-01,32.854,
2007-04,31.805,
2007-07,25.735,
2007-10,25.625,
2008-01,25.416,
2008-04,25.399,
2008-07,25.266,
2008-10,25.209,
2009-01,25.020,
2009-04,25.939,
2009-07,25.987,
2009-10,26.055,
2010-01,25.961,
2010-04,26.039,
2010-07,25.886,
2010-10,25.858,
2011-01,25.807,
2011-04,25.824,
2011-07,26.100,
2011-10,25.835,
2012-01,25.778,
2012-04,25.982,
2012-07,26.178,
2012-10,26.207,
2013-01,26.220,
2013-04,26.334,
2013-07,26.528,
2013-10,26.631,
2014-01,26.672,
2014-04,26.842,
2014-07,27.050,
