"",BBK01.OEAH75G,BBK01.OEAH75G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:33,
2002-01,3.444,
2002-04,3.368,
2002-07,3.366,
2002-10,3.432,
2003-01,3.322,
2003-04,3.223,
2003-07,3.214,
2003-10,3.234,
2004-01,3.174,
2004-04,3.069,
2004-07,2.761,
2004-10,2.862,
2005-01,2.805,
2005-04,2.777,
2005-07,2.659,
2005-10,2.676,
2006-01,2.677,
2006-04,2.670,
2006-07,2.697,
2006-10,2.735,
2007-01,2.600,
2007-04,2.668,
2007-07,2.643,
2007-10,2.676,
2008-01,3.519,
2008-04,3.797,
2008-07,3.793,
2008-10,3.557,
2009-01,2.604,
2009-04,2.644,
2009-07,2.588,
2009-10,2.557,
2010-01,2.489,
2010-04,2.439,
2010-07,2.388,
2010-10,2.381,
2011-01,2.286,
2011-04,2.351,
2011-07,2.538,
2011-10,2.667,
2012-01,2.720,
2012-04,15.401,
2012-07,15.276,
2012-10,15.391,
2013-01,15.228,
2013-04,15.120,
2013-07,15.187,
2013-10,15.700,
2014-01,15.904,
2014-04,15.868,
2014-07,15.831,
