"",BBSF2.M.1.P.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:10,
1966-01,1,
1966-02,2,
1966-03,2,
1966-04,2,
1966-05,2,
1966-06,2,
1966-07,2,
1966-08,2,
1966-09,2,
1966-10,2,
1966-11,2,
1966-12,2,
1967-01,2,
1967-02,2,
1967-03,2,
1967-04,2,
1967-05,2,
1967-06,2,
1967-07,2,
1967-08,2,
1967-09,2,
1967-10,2,
1967-11,2,
1967-12,2,
1968-01,2,
1968-02,2,
1968-03,2,
1968-04,2,
1968-05,2,
1968-06,3,
1968-07,3,
1968-08,3,
1968-09,3,
1968-10,3,
1968-11,3,
1968-12,4,
1969-01,5,
1969-02,5,
1969-03,6,
1969-04,6,
1969-05,6,
1969-06,6,
1969-07,7,
1969-08,7,
1969-09,7,
1969-10,8,
1969-11,8,
1969-12,9,
1970-01,10,
1970-02,10,
1970-03,10,
1970-04,10,
1970-05,11,
1970-06,11,
1970-07,11,
1970-08,11,
1970-09,12,
1970-10,12,
1970-11,12,
1970-12,13,
1971-01,13,
1971-02,13,
1971-03,13,
1971-04,13,
1971-05,13,
1971-06,13,
1971-07,13,
1971-08,13,
1971-09,13,
1971-10,13,
1971-11,14,
1971-12,15,
1972-01,15,
1972-02,15,
1972-03,15,
1972-04,15,
1972-05,16,
1972-06,16,
1972-07,17,
1972-08,17,
1972-09,17,
1972-10,17,
1972-11,17,
1972-12,17,
1973-01,17,
1973-02,18,
1973-03,19,
1973-04,19,
1973-05,21,
1973-06,21,
1973-07,21,
1973-08,21,
1973-09,22,
1973-10,23,
1973-11,23,
1973-12,23,
1974-01,23,
1974-02,23,
1974-03,23,
1974-04,23,
1974-05,23,
1974-06,23,
1974-07,23,
1974-08,23,
1974-09,23,
1974-10,23,
1974-11,23,
1974-12,23,
1975-01,23,
1975-02,23,
1975-03,23,
1975-04,23,
1975-05,23,
1975-06,23,
1975-07,23,
1975-08,23,
1975-09,23,
1975-10,23,
1975-11,23,
1975-12,23,
1976-01,23,
1976-02,23,
1976-03,24,
1976-04,24,
1976-05,24,
1976-06,24,
1976-07,23,
1976-08,23,
1976-09,23,
1976-10,23,
1976-11,23,
1976-12,25,
1977-01,26,
1977-02,26,
1977-03,26,
1977-04,27,
1977-05,27,
1977-06,28,
1977-07,28,
1977-08,28,
1977-09,30,
1977-10,30,
1977-11,32,
1977-12,32,
1978-01,31,
1978-02,31,
1978-03,31,
1978-04,31,
1978-05,31,
1978-06,32,
1978-07,32,
