"",BBK01.OECB07H,BBK01.OECB07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:53,
2002-01,6.766,
2002-04,6.756,
2002-07,6.540,
2002-10,6.266,
2003-01,6.505,
2003-04,6.331,
2003-07,6.956,
2003-10,6.852,
2004-01,6.442,
2004-04,7.011,
2004-07,7.093,
2004-10,7.055,
2005-01,7.355,
2005-04,7.674,
2005-07,7.469,
2005-10,7.253,
2006-01,7.174,
2006-04,6.535,
2006-07,6.676,
2006-10,6.484,
2007-01,6.456,
2007-04,6.668,
2007-07,6.204,
2007-10,6.648,
2008-01,6.500,
2008-04,6.441,
2008-07,5.572,
2008-10,6.793,
2009-01,7.016,
2009-04,7.611,
2009-07,7.810,
2009-10,7.903,
2010-01,7.597,
2010-04,7.540,
2010-07,6.539,
2010-10,6.726,
2011-01,6.916,
2011-04,6.685,
2011-07,6.437,
2011-10,6.699,
2012-01,5.083,
2012-04,4.933,
2012-07,5.184,
2012-10,5.470,
2013-01,5.566,
2013-04,5.258,
2013-07,4.885,
2013-10,4.788,
2014-01,4.431,
2014-04,4.641,
2014-07,4.720,
