"",BBK01.OECB04O,BBK01.OECB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:59,
2002-01,3.754,
2002-04,3.823,
2002-07,3.762,
2002-10,3.711,
2003-01,3.662,
2003-04,3.528,
2003-07,3.501,
2003-10,3.437,
2004-01,3.415,
2004-04,3.391,
2004-07,3.319,
2004-10,3.199,
2005-01,4.382,
2005-04,4.351,
2005-07,4.286,
2005-10,4.290,
2006-01,4.238,
2006-04,4.226,
2006-07,4.212,
2006-10,4.165,
2007-01,4.179,
2007-04,4.334,
2007-07,4.313,
2007-10,4.288,
2008-01,4.268,
2008-04,4.233,
2008-07,4.290,
2008-10,4.291,
2009-01,4.292,
2009-04,5.113,
2009-07,5.099,
2009-10,5.061,
2010-01,5.027,
2010-04,5.020,
2010-07,5.121,
2010-10,5.044,
2011-01,4.874,
2011-04,4.836,
2011-07,4.761,
2011-10,4.702,
2012-01,4.681,
2012-04,4.601,
2012-07,4.584,
2012-10,4.563,
2013-01,4.547,
2013-04,4.542,
2013-07,4.591,
2013-10,4.595,
2014-01,4.600,
2014-04,4.643,
2014-07,4.628,
