"",BBK01.CEF7N0,BBK01.CEF7N0_FLAGS
"",Other accounts payable                                        debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:31,
1999-01,112.9,
1999-04,121.0,
1999-07,123.2,
1999-10,124.7,
2000-01,137.7,
2000-04,139.8,
2000-07,146.2,
2000-10,149.6,
2001-01,152.5,
2001-04,155.8,
2001-07,154.0,
2001-10,151.2,
2002-01,146.9,
2002-04,151.9,
2002-07,149.3,
2002-10,148.2,
2003-01,148.6,
2003-04,143.8,
2003-07,140.9,
2003-10,149.9,
2004-01,150.9,
2004-04,154.2,
2004-07,151.3,
2004-10,144.5,
2005-01,148.6,
2005-04,151.9,
2005-07,153.3,
2005-10,176.3,
2006-01,184.5,
2006-04,186.5,
2006-07,191.7,
2006-10,187.2,
2007-01,194.8,
2007-04,197.3,
2007-07,197.6,
2007-10,191.6,
2008-01,203.0,
2008-04,210.0,
2008-07,208.6,
2008-10,200.0,
2009-01,194.7,
2009-04,192.9,
2009-07,189.9,
2009-10,186.0,
2010-01,191.5,
2010-04,199.5,
2010-07,199.0,
2010-10,200.2,
2011-01,211.9,
2011-04,216.7,
2011-07,219.9,
2011-10,217.2,
2012-01,227.5,
2012-04,230.2,
2012-07,227.8,
2012-10,221.1,
2013-01,228.0,
2013-04,227.0,
2013-07,222.8,
2013-10,227.8,
2014-01,230.7,
2014-04,230.5,
2014-07,234.0,
