"",BBK01.CEL50N,BBK01.CEL50N_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:01,
1999-01,-12.3,
1999-04,17.9,
1999-07,12.2,
1999-10,28.8,
2000-01,62.2,
2000-04,56.7,
2000-07,19.5,
2000-10,-50.5,
2001-01,15.4,
2001-04,72.4,
2001-07,5.3,
2001-10,8.1,
2002-01,17.4,
2002-04,15.9,
2002-07,5.8,
2002-10,7.1,
2003-01,11.4,
2003-04,2.5,
2003-07,8.6,
2003-10,41.9,
2004-01,3.1,
2004-04,-15.8,
2004-07,16.4,
2004-10,20.9,
2005-01,7.5,
2005-04,9.3,
2005-07,15.6,
2005-10,18.7,
2006-01,-61.4,
2006-04,7.1,
2006-07,-12.2,
2006-10,-28.0,
2007-01,61.6,
2007-04,31.0,
2007-07,5.1,
2007-10,-24.3,
2008-01,35.7,
2008-04,16.4,
2008-07,9.7,
2008-10,19.2,
2009-01,-30.4,
2009-04,7.6,
2009-07,37.0,
2009-10,7.8,
2010-01,8.9,
2010-04,-1.3,
2010-07,18.2,
2010-10,7.8,
2011-01,7.0,
2011-04,12.5,
2011-07,25.8,
2011-10,-12.1,
2012-01,29.1,
2012-04,17.4,
2012-07,12.5,
2012-10,3.4,
2013-01,-7.8,
2013-04,1.9,
2013-07,-0.1,
2013-10,18.4,
2014-01,-2.0,
2014-04,8.6,
2014-07,6.5,
