"",BBSF2.M.1.P.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:39,
1970-01,221,
1970-02,227,
1970-03,229,
1970-04,231,
1970-05,232,
1970-06,235,
1970-07,237,
1970-08,247,
1970-09,251,
1970-10,253,
1970-11,281,
1970-12,292,
1971-01,309,
1971-02,332,
1971-03,354,
1971-04,366,
1971-05,395,
1971-06,419,
1971-07,449,
1971-08,472,
1971-09,503,
1971-10,524,
1971-11,547,
1971-12,576,
1972-01,614,
1972-02,669,
1972-03,721,
1972-04,789,
1972-05,833,
1972-06,896,
1972-07,961,
1972-08,1015,
1972-09,1062,
1972-10,1110,
1972-11,1156,
1972-12,1188,
1973-01,1229,
1973-02,1261,
1973-03,1295,
1973-04,1301,
1973-05,1315,
1973-06,1306,
1973-07,1310,
1973-08,1307,
1973-09,1312,
1973-10,1316,
1973-11,1333,
1973-12,1318,
1974-01,1325,
1974-02,1331,
1974-03,1348,
1974-04,1340,
1974-05,1353,
1974-06,1340,
1974-07,1350,
1974-08,1343,
1974-09,1348,
1974-10,1344,
1974-11,1338,
1974-12,1316,
1975-01,1325,
1975-02,1337,
1975-03,1344,
1975-04,1339,
1975-05,1345,
1975-06,1344,
1975-07,1359,
1975-08,1368,
1975-09,1380,
1975-10,1394,
1975-11,1403,
1975-12,1407,
1976-01,1423,
1976-02,1430,
1976-03,1446,
1976-04,1445,
1976-05,1461,
1976-06,1480,
1976-07,1486,
1976-08,1496,
1976-09,1505,
1976-10,1516,
1976-11,1523,
1976-12,1534,
1977-01,1552,
1977-02,1563,
1977-03,1578,
1977-04,1580,
1977-05,1596,
1977-06,1610,
1977-07,1623,
1977-08,1646,
1977-09,1663,
1977-10,1678,
1977-11,1687,
1977-12,1707,
1978-01,1749,
1978-02,1782,
1978-03,1808,
1978-04,1820,
1978-05,1840,
1978-06,1859,
1978-07,1883,
1978-08,1900,
1978-09,1929,
1978-10,1950,
1978-11,1968,
1978-12,1971,
1979-01,1986,
1979-02,2009,
1979-03,2030,
1979-04,2040,
1979-05,2051,
1979-06,2059,
1979-07,2074,
1979-08,2087,
1979-09,2099,
1979-10,2110,
1979-11,2119,
1979-12,2102,
1980-01,2102,
1980-02,2118,
1980-03,2125,
1980-04,2116,
1980-05,2130,
1980-06,2145,
1980-07,2174,
1980-08,2200,
1980-09,2222,
1980-10,2246,
1980-11,2264,
1980-12,2258,
1981-01,2268,
1981-02,2280,
1981-03,2292,
1981-04,2292,
1981-05,2283,
1981-06,2288,
1981-07,2290,
1981-08,2290,
1981-09,2312,
1981-10,2315,
1981-11,2324,
1981-12,2322,
1982-01,2321,
1982-02,2344,
1982-03,2366,
1982-04,2370,
