"",BBK01.OEBL03U,BBK01.OEBL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:18,
2002-01,0.316,
2002-04,0.308,
2002-07,0.294,
2002-10,0.295,
2003-01,0.269,
2003-04,0.271,
2003-07,0.262,
2003-10,0.269,
2004-01,0.238,
2004-04,0.230,
2004-07,0.227,
2004-10,0.161,
2005-01,0.254,
2005-04,0.241,
2005-07,0.236,
2005-10,0.218,
2006-01,0.225,
2006-04,0.221,
2006-07,0.226,
2006-10,0.298,
2007-01,0.329,
2007-04,0.333,
2007-07,0.346,
2007-10,0.406,
2008-01,0.442,
2008-04,0.453,
2008-07,0.545,
2008-10,0.578,
2009-01,0.515,
2009-04,0.519,
2009-07,0.419,
2009-10,0.375,
2010-01,0.312,
2010-04,0.334,
2010-07,0.268,
2010-10,0.240,
2011-01,0.259,
2011-04,0.247,
2011-07,0.247,
2011-10,0.296,
2012-01,0.313,
2012-04,0.331,
2012-07,0.261,
2012-10,0.217,
2013-01,0.196,
2013-04,0.181,
2013-07,0.168,
2013-10,0.164,
2014-01,0.167,
2014-04,0.162,
2014-07,0.139,
